,Games,Win,Loss,W/L Ratio,Kill,Death,Assist,KDA,CS,CS/M,Gold(k),Gold/M,Kill Participation,Kill Share,Gold Share
Gragas,8,5,3,62.5%,2.75,2.13,7.63,4.88,164.88,5.04,10.9,332,72.2%,19.1%,18.3%
Rek'Sai,7,5,2,71.4%,2.29,2,5.57,3.93,193.43,5.64,11.8,343,65.5%,19%,18.3%
Karthus,6,4,2,66.7%,3.67,2.5,6.5,4.07,205.17,5.84,12.7,363,76.3%,27.5%,20%
Sejuani,6,4,2,66.7%,1.5,1.5,9.67,7.44,163.67,4.84,10.7,317,77.9%,10.5%,16.9%
Trundle,3,2,1,66.7%,1.67,2.33,7.67,4,154.67,4.32,10.9,305,75.7%,13.5%,17.3%
Jarvan IV,3,1,2,33.3%,1,1.33,3.33,3.25,171.67,5.42,9.9,313,92.9%,21.4%,18%
Xin Zhao,3,0,3,0%,1,4,5,1.5,211.67,5.39,12.2,310,52.9%,8.8%,18.1%
Aatrox,2,1,1,50%,2,2.5,3,2,194.5,6.21,11.5,366,83.3%,33.3%,20.9%
Elise,2,1,1,50%,1,2,2,1.5,186,5.54,10.3,308,40%,13.3%,17.7%
Kha'Zix,1,0,1,0%,2,2,1,1.5,165,5.13,10.3,320,75%,50%,19.1%
Lee Sin,1,0,1,0%,0,2,5,2.5,146,3.98,9.2,251,71.4%,0%,15.3%
Olaf,1,0,1,0%,2,6,2,0.67,146,4.96,8.6,291,80%,40%,18.5%
Skarner,1,0,1,0%,0,3,3,1,152,4.05,9.7,257,100%,0%,16.3%
Urgot,1,0,1,0%,4,5,0,0.8,138,5.41,8.8,346,100%,100%,22.5%
Zac,1,0,1,0%,1,4,1,0.5,145,5.09,8.4,293,66.7%,33.3%,17.2%
