,Games,Win,Loss,W/L Ratio,Kill,Death,Assist,KDA,CS,CS/M,Gold(k),Gold/M,Kill Participation,Kill Share,Gold Share
Lissandra,7,5,2,71.4%,1.71,2.29,7.14,3.88,300.86,8.04,13.8,369,72.9%,14.1%,19.8%
Ryze,6,5,1,83.3%,4.33,0.83,4.33,10.4,302.33,9.66,13.8,440,80%,40%,23.1%
LeBlanc,6,4,2,66.7%,3.17,1,6,9.17,300.67,8.25,14.1,387,74.3%,25.7%,20.8%
Zoe,5,4,1,80%,3.2,0.6,5.2,14,321.4,8.87,14.8,407,67.7%,25.8%,21.5%
Galio,4,2,2,50%,2.75,1.75,5,4.43,296.25,8.72,12.8,377,75.6%,26.8%,20.7%
Aatrox,3,1,2,33.3%,1.33,4,2.33,0.92,249.33,8.08,11.1,359,44%,16%,20%
Akali,3,1,2,33.3%,4,2.33,3,3,245.33,8.14,11.6,385,72.4%,41.4%,21.3%
Cassiopeia,2,2,0,100%,2,1.5,6,5.33,324.5,9.22,14.6,414,72.7%,18.2%,21.1%
Urgot,2,1,1,50%,1.5,1.5,4,3.67,272,8.51,11.8,370,68.8%,18.8%,20%
Lucian,1,1,0,100%,3,0,7,10,330,8.92,15.8,427,55.6%,16.7%,21.4%
Syndra,1,1,0,100%,5,5,8,2.6,337,7.37,17.5,384,68.4%,26.3%,20.1%
Taliyah,1,1,0,100%,6,1,8,14,270,8.79,13.8,450,77.8%,33.3%,22.7%
Azir,1,0,1,0%,0,2,1,0.5,449,10.89,17.1,414,20%,0%,23.7%
Viktor,1,0,1,0%,1,3,1,0.67,265,9.01,10.3,351,66.7%,33.3%,23%
Yasuo,1,0,1,0%,0,4,0,0,301,9.03,11.4,341,0%,0%,20.6%
