,Games,Win,Loss,W/L Ratio,Kill,Death,Assist,KDA,CS,CS/M,Gold(k),Gold/M,Kill Participation,Kill Share,Gold Share
Azir,8,7,1,87.5%,2.5,1.5,5.63,5.42,385,9.45,17,416,59.6%,18.3%,22.3%
Akali,8,4,4,50%,3.13,1.13,2.75,5.22,301.38,9.2,13.2,401,62.7%,33.3%,22.3%
Corki,5,4,1,80%,3.2,0.8,3,7.75,326.6,9.1,14.7,410,73.8%,38.1%,22.9%
Sylas,5,3,2,60%,2.6,2.4,4.8,3.08,296.2,8.62,13.6,395,64.9%,22.8%,21.4%
LeBlanc,4,1,3,25%,3,2,3.5,3.25,220.25,7.2,10.6,346,92.9%,42.9%,21%
Zoe,4,1,3,25%,1.25,1.5,3.25,3,257.75,8.56,10.9,363,75%,20.8%,21.5%
Lucian,2,1,1,50%,5,2.5,5.5,4.2,275,7.97,14.5,421,72.4%,34.5%,23.1%
Cassiopeia,1,1,0,100%,2,0,4,6,248,8.54,11.4,393,46.2%,15.4%,19.5%
Irelia,1,1,0,100%,6,0,7,13,277,9.41,13.4,456,86.7%,40%,22.4%
Jayce,1,1,0,100%,1,1,7,8,190,8.15,9.1,388,80%,10%,19.5%
Lissandra,1,1,0,100%,7,2,9,8,266,7.24,14.8,403,69.6%,30.4%,21.4%
Ryze,1,1,0,100%,1,1,3,4,324,9.54,13.8,407,57.1%,14.3%,22.1%
Taliyah,1,1,0,100%,3,1,4,7,227,7.23,11.5,365,58.3%,25%,18.6%
Aatrox,1,0,1,0%,1,2,4,2.5,264,9.69,10.5,386,71.4%,14.3%,22.4%
Karma,1,0,1,0%,1,5,7,1.6,243,7.22,11.7,346,53.3%,6.7%,19.7%
Syndra,1,0,1,0%,1,3,3,1.33,282,8.21,12.2,355,80%,20%,20.2%
