,Games,Win,Loss,W/L Ratio,Kill,Death,Assist,KDA,CS,CS/M,Gold(k),Gold/M,Kill Participation,Kill Share,Gold Share
Ryze,3,2,1,66.7%,2.33,2.33,3.33,2.43,325,9.65,14.7,435,40.5%,16.7%,22.9%
Tristana,2,2,0,100%,5,0.5,8.5,27,266.5,8.44,13.9,439,69.2%,25.6%,21.6%
Akali,2,1,1,50%,5,1.5,1,4,259.5,9.77,12.2,459,52.2%,43.5%,24.8%
Camille,1,1,0,100%,3,2,10,6.5,327,9.88,15.1,456,72.2%,16.7%,21.6%
LeBlanc,1,1,0,100%,6,1,5,11,307,8.53,15.6,433,52.4%,28.6%,21.2%
Lissandra,1,1,0,100%,3,2,6,4.5,252,8.64,12.6,431,64.3%,21.4%,21.7%
Twisted Fate,1,1,0,100%,5,5,8,2.6,378,8.85,21.2,497,72.2%,27.8%,25.7%
Azir,1,0,1,0%,2,4,6,2,265,8.33,12,378,66.7%,16.7%,21.3%
Neeko,1,0,1,0%,1,3,4,1.67,292,8.45,12.2,353,62.5%,12.5%,19.9%
Qiyana,1,0,1,0%,4,6,9,2.17,207,5.75,11.9,331,59.1%,18.2%,18.6%
