,Games,Win,Loss,W/L Ratio,Kill,Death,Assist,KDA,CS,CS/M,Gold(k),Gold/M,Kill Participation,Kill Share,Gold Share
Jarvan IV,12,9,3,75%,1.33,3.33,10.5,3.55,152.92,4.68,10.5,322,84.5%,9.5%,17%
Lee Sin,3,2,1,66.7%,1,3,4.67,1.89,152.33,5,9.7,317,63%,11.1%,17.3%
Gragas,3,1,2,33.3%,1,4.67,7.67,1.86,130.67,4.25,9,293,68.4%,7.9%,16.9%
Nocturne,3,1,2,33.3%,1,3.33,5.67,2,169.67,4.75,10.3,288,62.5%,9.4%,16.4%
Kindred,2,2,0,100%,2.5,2,5.5,4,181.5,6.24,11.2,385,59.3%,18.5%,19.7%
Sejuani,2,2,0,100%,1.5,1.5,6.5,5.33,193.5,4.86,12.8,322,84.2%,15.8%,17.6%
Skarner,2,1,1,50%,3,2,9.5,6.25,138.5,4.63,9.8,329,71.4%,17.1%,17.4%
Camille,2,0,2,0%,2,2.5,1.5,1.4,141,4.89,8.8,305,77.8%,44.4%,18.3%
Rek'Sai,2,0,2,0%,0,6.5,3.5,0.54,120.5,4.63,6.9,266,53.8%,0%,16.4%
Elise,1,1,0,100%,4,3,3,2.33,159,3.57,13.6,304,46.7%,26.7%,16.3%
Kha'Zix,1,1,0,100%,7,2,7,7,180,5.64,13.3,415,77.8%,38.9%,20.2%
Trundle,1,0,1,0%,0,1,2,2,128,4.1,7.5,241,66.7%,0%,15.7%
