,Games,Win,Loss,W/L Ratio,Kill,Death,Assist,KDA,CS,CS/M,Gold(k),Gold/M,Kill Participation,Kill Share,Gold Share
Gragas,4,2,2,50%,2.5,3.25,9,3.54,158.25,4.8,11,335,70.8%,15.4%,18.2%
Jarvan IV,4,2,2,50%,1.75,2,7.75,4.75,136.75,4.59,9.3,313,80.9%,14.9%,17.2%
Sejuani,3,2,1,66.7%,2.33,2.33,9,4.86,166,5.09,10.8,332,87.2%,17.9%,18%
Karthus,3,1,2,33.3%,3.33,2.67,6,3.5,229.67,6.07,13.5,356,96.6%,34.5%,19.4%
Sylas,2,2,0,100%,2.5,1,5,7.5,191,5.14,12.8,345,48.4%,16.1%,17.7%
Olaf,2,1,1,50%,4,6,4.5,1.42,152,4.5,11.1,329,56.7%,26.7%,18.7%
Rek'Sai,2,0,2,0%,1.5,4.5,1,0.56,142,4.6,8.8,284,62.5%,37.5%,18.9%
Elise,1,1,0,100%,3,1,5,8,185,4.6,13.6,338,66.7%,25%,17.7%
Lee Sin,1,1,0,100%,3,1,12,15,153,4.73,11.3,350,83.3%,16.7%,17.9%
Nocturne,1,0,1,0%,3,3,6,3,243,5.75,14.1,333,64.3%,21.4%,18.7%
