,Games,Win,Loss,W/L Ratio,Kill,Death,Assist,KDA,CS,CS/M,Gold(k),Gold/M,Kill Participation,Kill Share,Gold Share
Aatrox,17,12,5,70.6%,3.06,2.24,3.59,2.97,288.06,8.66,13.4,403,59.8%,27.5%,21.9%
Kennen,4,2,2,50%,2.25,2.5,3.25,2.2,283,8.58,12.6,383,62.9%,25.7%,21.3%
Gangplank,3,2,1,66.7%,1.33,2.33,6,3.14,313,8.41,15.1,406,84.6%,15.4%,21.4%
Jayce,3,2,1,66.7%,3.33,3.33,5,2.5,267.33,8.21,12.9,397,64.1%,25.6%,21.2%
Vladimir,3,2,1,66.7%,1,2,5,3,255,7.71,12,364,46.2%,7.7%,19.4%
Fiora,2,2,0,100%,1.5,2.5,0.5,0.8,239,8.13,11.5,390,21.1%,15.8%,19.7%
Akali,2,1,1,50%,3.5,3,5,2.83,336,8.36,15.6,388,63%,25.9%,21.2%
Renekton,2,1,1,50%,2,3.5,3.5,1.57,289,7.62,13.5,356,45.8%,16.7%,20%
Ryze,2,1,1,50%,1.5,2,3,2.25,361.5,9.36,15.3,397,47.4%,15.8%,21.9%
Camille,2,0,2,0%,2,2,3,2.5,288.5,7.89,13.2,360,71.4%,28.6%,21.8%
Sylas,1,1,0,100%,7,2,3,5,354,9.65,17.9,489,90.9%,63.6%,25.5%
Jax,1,0,1,0%,3,3,1,1.33,317,7.74,14.8,362,66.7%,50%,21.3%
Quinn,1,0,1,0%,4,1,1,5,283,9.39,13.5,446,55.6%,44.4%,25.7%
