,Games,Win,Loss,W/L Ratio,Kill,Death,Assist,KDA,CS,CS/M,Gold(k),Gold/M,Kill Participation,Kill Share,Gold Share
Aatrox,7,3,4,42.9%,1.86,1.43,1.86,2.6,315.14,9.29,13.5,397,48.1%,24.1%,22.7%
Akali,4,2,2,50%,5,2.5,4.5,3.8,319.25,7.58,16.5,392,63.3%,33.3%,22.1%
Ryze,4,1,3,25%,1.75,4.25,3.5,1.24,317.5,8.48,14.1,375,53.8%,17.9%,22.2%
Jayce,3,2,1,66.7%,3.67,2,4.67,4.17,327,8.88,14.9,406,73.5%,32.4%,23.3%
Vladimir,3,2,1,66.7%,4.33,1.33,4,6.25,303,9.27,14.3,437,55.6%,28.9%,23.9%
Jax,3,1,2,33.3%,1.67,2.33,3,2,276.67,9.18,11.8,392,63.6%,22.7%,23.1%
Lucian,3,1,2,33.3%,3.33,3,2,1.78,322,9.37,14.6,426,57.1%,35.7%,25.8%
Sylas,3,1,2,33.3%,1.33,2.67,4.67,2.25,232,7.3,11.3,356,52.9%,11.8%,21%
Urgot,3,0,3,0%,1.67,2.33,1.33,1.29,267,8.81,10.8,356,56.3%,31.3%,23.1%
Vayne,2,1,1,50%,5,1,2.5,7.5,315,9.91,14.5,457,83.3%,55.6%,25.9%
Darius,1,0,1,0%,4,3,4,2.67,239,8.25,11.8,406,80%,40%,25.5%
Gangplank,1,0,1,0%,0,4,4,1,207,8.17,8.6,341,80%,0%,20.8%
Irelia,1,0,1,0%,3,2,4,3.5,428,8.87,18.6,386,77.8%,33.3%,23.9%
Jarvan IV,1,0,1,0%,0,2,2,1,282,8.41,10.9,326,33.3%,0%,20.1%
Kled,1,0,1,0%,4,1,9,13,333,8.36,16.6,416,86.7%,26.7%,24.8%
Malphite,1,0,1,0%,4,3,4,2.67,330,7.22,17.4,381,61.5%,30.8%,21.6%
Sion,1,0,1,0%,1,4,7,2,257,7.06,11.2,308,80%,10%,19.6%
Viktor,1,0,1,0%,0,4,1,0.25,247,8.24,10,333,20%,0%,20.9%
