,Games,Win,Loss,W/L Ratio,Kill,Death,Assist,KDA,CS,CS/M,Gold(k),Gold/M,Kill Participation,Kill Share,Gold Share
Galio,8,6,2,75%,1,1.75,8.25,5.29,87.75,2.58,9.3,273,73.3%,7.9%,14.2%
Alistar,6,6,0,100%,1.5,0.83,7.67,11,59,1.84,8.5,264,62.5%,10.2%,13.5%
Shen,5,3,2,60%,0.4,2.4,7.6,3.33,85,2.51,9.6,285,71.4%,3.6%,15.5%
Rakan,4,3,1,75%,0.75,1.25,11.25,9.6,28.5,0.82,8.9,254,85.7%,5.4%,13.5%
Braum,3,3,0,100%,0.33,0.67,10,15.5,83.67,2.35,11.1,311,68.9%,2.2%,15.4%
Morgana,3,3,0,100%,1,0.33,11.33,37,12.33,0.41,8.9,296,72.5%,5.9%,13.9%
Ornn,2,2,0,100%,1,0,10,22,76.5,2.73,10.8,387,75.9%,6.9%,18%
Tahm Kench,2,2,0,100%,1,0,9.5,21,70,2.25,10.6,342,58.3%,5.6%,16.7%
Thresh,2,1,1,50%,0.5,0.5,14,29,30,0.87,8.6,248,78.4%,2.7%,13.4%
Karma,2,0,2,0%,0,0.5,1,2,28,0.85,6.6,200,20%,0%,12.1%
Elise,1,1,0,100%,2,4,10,3,60,1.93,10.2,329,63.2%,10.5%,15.5%
Fiddlesticks,1,1,0,100%,2,1,10,12,23,0.79,7.8,269,66.7%,11.1%,13.3%
