,Games,Win,Loss,W/L Ratio,Kill,Death,Assist,KDA,CS,CS/M,Gold(k),Gold/M,Kill Participation,Kill Share,Gold Share
Tahm Kench,10,8,2,80%,0.2,1,7.8,8,89.1,2.66,9.3,279,69%,1.7%,14.3%
Lux,7,7,0,100%,0.71,1.14,9.43,8.88,19.57,0.6,8.2,252,74%,5.2%,12.8%
Yuumi,6,6,0,100%,0.67,0.5,13.17,27.67,15.83,0.56,8.6,306,79.8%,3.8%,14.7%
Volibear,5,4,1,80%,0.8,1.4,5.2,4.29,62,1.89,8,244,52.6%,7%,12.4%
Nautilus,4,0,4,0%,0,3.25,4.5,1.38,69.5,1.98,7.9,225,66.7%,0%,13.3%
Braum,3,1,2,33.3%,0.33,1.67,8,5,67.67,2.25,7.7,257,73.5%,2.9%,13.7%
Rakan,2,1,1,50%,0.5,1.5,5,3.67,20.5,0.6,7.2,212,57.9%,5.3%,12%
Galio,2,0,2,0%,0.5,3,5,1.83,99.5,2.89,8.8,257,84.6%,7.7%,14.9%
Nami,1,1,0,100%,1,0,7,8,33,0.88,8.8,234,88.9%,11.1%,11.9%
Sejuani,1,1,0,100%,1,2,11,6,77,2.36,9.2,282,75%,6.3%,13.4%
Taric,1,0,1,0%,0,2,0,0,121,4.17,7.7,266,0%,0%,17%
