,Games,Win,Loss,W/L Ratio,Kill,Death,Assist,KDA,CS,CS/M,Gold(k),Gold/M,Kill Participation,Kill Share,Gold Share
Lee Sin,14,10,4,71.4%,2.21,2,5.43,3.82,197.57,5.66,12,343,73.8%,21.4%,18.6%
Olaf,7,3,4,42.9%,1.71,1.71,4.29,3.5,190.57,5.59,11,324,67.7%,19.4%,18.4%
Camille,6,5,1,83.3%,3.17,2.67,4.33,2.81,206.5,5.9,12.3,352,57.7%,24.4%,18.3%
Kha'Zix,3,3,0,100%,3.33,1.33,4.33,5.75,183.67,6.27,11,375,62.2%,27%,18.7%
Jarvan IV,3,2,1,66.7%,2,1,8.33,10.33,180,5.43,11.3,341,75.6%,14.6%,17.9%
Jax,3,2,1,66.7%,4.67,1.33,4,6.5,212.67,6.43,12.8,388,63.4%,34.1%,19.9%
Aatrox,2,2,0,100%,1.5,1,6.5,8,207.5,6.6,11.6,369,64%,12%,18.2%
Nocturne,2,0,2,0%,3,4.5,2.5,1.22,201,5.29,12.1,320,68.8%,37.5%,18.8%
Sejuani,1,1,0,100%,1,4,9,2.5,184,4.98,12.5,338,55.6%,5.6%,16.9%
Rek'Sai,1,0,1,0%,0,6,2,0.33,226,5.48,12,292,40%,0%,16.7%
Xin Zhao,1,0,1,0%,2,2,3,2.5,304,7.22,15.7,372,62.5%,25%,22.6%
