,Games,Win,Loss,W/L Ratio,Kill,Death,Assist,KDA,CS,CS/M,Gold(k),Gold/M,Kill Participation,Kill Share,Gold Share
Jarvan IV,11,5,6,45.5%,0.73,2.27,6,2.96,174.64,5.03,10.6,305,83.1%,9%,17.4%
Xin Zhao,9,7,2,77.8%,3,2.11,5.89,4.21,202.11,6.23,12.3,380,69.6%,23.5%,20%
Sejuani,7,4,3,57.1%,1.71,2.14,7.57,4.33,186.29,5.04,11.7,315,77.4%,14.3%,17.2%
Lee Sin,5,5,0,100%,2.6,1.8,5.6,4.56,201.6,5.28,13,342,65.1%,20.6%,18.3%
Olaf,4,0,4,0%,1.5,3.25,1,0.77,141,5.4,8.1,309,45.5%,27.3%,19.8%
Aatrox,2,1,1,50%,2,3,7,3,184,5.18,11.9,336,64.3%,14.3%,18.5%
Elise,2,1,1,50%,1.5,2.5,4,2.2,135,5.23,8.3,323,84.6%,23.1%,17.8%
Jax,1,1,0,100%,3,1,3,6,207,6.1,12.1,356,85.7%,42.9%,19.4%
Kha'Zix,1,1,0,100%,4,1,2,6,240,5.97,15.3,379,40%,26.7%,19.6%
Rek'Sai,1,1,0,100%,5,3,2,2.33,185,5.34,12.7,366,50%,35.7%,18%
Skarner,1,1,0,100%,2,1,12,14,235,5.44,14.3,330,87.5%,12.5%,18.5%
Kayn,1,0,1,0%,2,3,2,1.33,143,5.11,9,320,80%,40%,20.2%
