,Games,Win,Loss,W/L Ratio,Kill,Death,Assist,KDA,CS,CS/M,Gold(k),Gold/M,Kill Participation,Kill Share,Gold Share
Sejuani,14,9,5,64.3%,0.79,1.29,6,5.28,178.5,5.07,10.8,305,72%,8.3%,17%
Skarner,8,5,3,62.5%,1.13,2.13,5.63,3.18,160.38,5.47,9.7,331,67.5%,11.3%,18.3%
Sylas,4,3,1,75%,3,2.25,7,4.44,197.25,5.96,12.3,373,74.1%,22.2%,19.7%
Trundle,4,2,2,50%,2.5,1.75,5.5,4.57,167.75,4.77,11.1,316,80%,25%,18%
Lee Sin,4,1,3,25%,0.5,1.75,2.25,1.57,166.25,4.8,9.8,283,52.4%,9.5%,17.3%
Rek'Sai,3,2,1,66.7%,5,2.33,6.33,4.86,211.67,5.86,13.6,377,77.3%,34.1%,19.5%
Elise,1,1,0,100%,1,0,0,1,137,5.01,8.9,324,12.5%,12.5%,17.1%
Jax,1,0,1,0%,1,5,1,0.4,191,4.64,11.5,279,66.7%,33.3%,17.9%
Karthus,1,0,1,0%,1,4,1,0.5,203,5.18,11.1,284,50%,25%,18.3%
Olaf,1,0,1,0%,1,2,0,0.5,176,6,9.1,310,33.3%,33.3%,20.1%
