,Games,Win,Loss,W/L Ratio,Kill,Death,Assist,KDA,CS,CS/M,Gold(k),Gold/M,Kill Participation,Kill Share,Gold Share
Urgot,7,7,0,100%,3.71,1,5.29,9,276.86,8.01,13.8,400,58.3%,24.1%,20.4%
Kennen,3,3,0,100%,3,1.67,7.67,6.4,263.67,8.51,13.2,425,55.2%,15.5%,20.5%
Akali,3,2,1,66.7%,4.33,3,4.33,2.89,362,9.01,16.7,415,56.5%,28.3%,22.7%
Vladimir,3,2,1,66.7%,2.67,2,2.33,2.5,362,10.06,15.7,436,53.6%,28.6%,23.4%
Camille,2,2,0,100%,3.5,4,6,2.38,280,7.92,14.8,419,57.6%,21.2%,21.7%
Gangplank,2,2,0,100%,4.5,3.5,8,3.57,275,7.25,16.2,427,65.8%,23.7%,21.3%
Ornn,2,2,0,100%,2,2.5,5,2.8,244.5,7.44,12.4,378,70%,20%,19.7%
Jayce,2,1,1,50%,0,2.5,5.5,2.2,298,9.43,12.4,393,64.7%,0%,22%
Lissandra,2,1,1,50%,2,3,2,1.33,227,8.75,9.8,379,47.1%,23.5%,21.5%
Sion,2,1,1,50%,1,3,4.5,1.83,250.5,7.42,10.7,317,73.3%,13.3%,18.3%
Yorick,2,1,1,50%,2.5,3,2.5,1.67,214,7.82,10.6,386,50%,25%,21.8%
Ryze,2,0,2,0%,1,1,2.5,3.5,333.5,9.57,13.4,384,50%,14.3%,22.7%
Sylas,2,0,2,0%,2,2,3,2.5,291,7.62,13.1,344,43.5%,17.4%,20.9%
Aatrox,1,1,0,100%,0,0,9,9,252,9.92,10.7,421,60%,0%,20%
Karma,1,1,0,100%,2,0,5,7,129,3.52,11.7,318,87.5%,25%,16.7%
Lucian,1,1,0,100%,0,4,2,0.5,280,7.77,12.8,356,16.7%,0%,19.1%
Cassiopeia,1,0,1,0%,0,1,1,1,326,8.47,13.2,343,14.3%,0%,20.4%
Viktor,1,0,1,0%,0,3,2,0.67,178,5.74,11,354,50%,0%,21.7%
