,Games,Win,Loss,W/L Ratio,Kill,Death,Assist,KDA,CS,CS/M,Gold(k),Gold/M,Kill Participation,Kill Share,Gold Share
Lucian,9,0,9,0%,3.11,1.56,2.11,3.36,402.33,10.29,16.6,425,58%,34.6%,25.4%
Kai'Sa,7,1,6,14.3%,1.57,2.29,2.14,1.63,329.29,10.15,13.3,412,57.8%,24.4%,25%
Ezreal,6,1,5,16.7%,1.5,2.17,3.17,2.15,296.33,9.22,12.6,393,62.2%,20%,23.7%
Vladimir,4,0,4,0%,0.5,2.5,0.75,0.5,269.5,8.84,10.5,346,41.7%,16.7%,22.8%
Tristana,2,1,1,50%,4,2,1,2.5,284.5,9.78,13,447,50%,40%,25%
Kalista,2,0,2,0%,2,4,0.5,0.63,289,10.04,12.4,430,100%,80%,26.9%
Viktor,2,0,2,0%,1,1.5,3.5,3,365,9.92,14.7,400,75%,16.7%,23.8%
Sivir,1,0,1,0%,0,1,1,1,360,11.64,12.2,396,100%,0%,25.6%
Vayne,1,0,1,0%,5,4,6,2.75,345,8.81,16.2,413,68.8%,31.3%,24.4%
Xayah,1,0,1,0%,0,0,0,0,304,10.9,10.6,381,0%,0%,24.9%
