,Games,Win,Loss,W/L Ratio,Kill,Death,Assist,KDA,CS,CS/M,Gold(k),Gold/M,Kill Participation,Kill Share,Gold Share
Ezreal,11,2,9,18.2%,2.27,1.82,2.18,2.45,335.27,9.77,14.6,426,62%,31.6%,26.1%
Xayah,7,1,6,14.3%,3.14,2.57,4.29,2.89,381.71,10.55,16.6,460,81.3%,34.4%,26.9%
Sivir,5,0,5,0%,3.2,1.8,2.8,3.33,381.2,10.94,15.7,450,81.1%,43.2%,27.3%
Lucian,4,1,3,25%,1,2.75,4,1.82,343.25,10.11,14.1,414,71.4%,14.3%,24.8%
Kai'Sa,3,0,3,0%,2,2.33,2,1.71,297.67,9.69,12.2,399,80%,40%,26.2%
Varus,3,0,3,0%,2.33,2.33,3.67,2.57,367.33,10.07,15.3,419,85.7%,33.3%,25.3%
Kalista,2,0,2,0%,3.5,4.5,6,2.11,254,8.44,11.7,387,73.1%,26.9%,24.5%
Caitlyn,1,0,1,0%,1,4,1,0.5,277,9.37,11.5,387,100%,50%,25%
Jinx,1,0,1,0%,0,1,1,1,365,10.9,14.4,431,100%,0%,27.9%
Sona,1,0,1,0%,0,1,3,3,147,5.12,10,346,60%,0%,21.7%
Viktor,1,0,1,0%,0,3,0,0,328,10.5,11.4,365,0%,0%,23.8%
Yasuo,1,0,1,0%,1,5,1,0.4,267,9.16,10.8,369,66.7%,33.3%,23.9%
