,Games,Win,Loss,W/L Ratio,Kill,Death,Assist,KDA,CS,CS/M,Gold(k),Gold/M,Kill Participation,Kill Share,Gold Share
Ezreal,14,6,8,42.9%,3.93,1.43,3.21,5,377.14,10.24,17,461,71.9%,39.6%,25.7%
Kai'Sa,10,4,6,40%,2.9,1.7,3.5,3.76,363.3,10.79,15,446,82.1%,37.2%,25.6%
Vayne,4,4,0,100%,5.75,0.75,5.75,15.33,435.5,10.78,20.3,502,79.3%,39.7%,26.5%
Ashe,3,0,3,0%,3.33,2.33,2.67,2.57,371,10.37,15.4,430,72%,40%,25%
Varus,3,0,3,0%,0.67,2,2.33,1.5,357.67,10.48,13.8,404,90%,20%,24.5%
Kalista,2,1,1,50%,4,1.5,2,4,375,11.4,15.4,467,70.6%,47.1%,26.5%
Tristana,2,1,1,50%,5,2,6,5.5,349.5,10.07,16.2,467,88%,40%,26.7%
Lucian,2,0,2,0%,2,1.5,1,2,348,10.86,13.4,419,66.7%,44.4%,25.9%
Sivir,2,0,2,0%,3,1.5,3,4,437.5,11.84,17.7,479,80%,40%,28.2%
Kog'Maw,1,0,1,0%,0,1,0,0,277,9.75,10.1,354,-nan%,-nan%,22.9%
Yasuo,1,0,1,0%,2,2,2,2,280,8.95,12.2,389,100%,50%,25.5%
