,Games,Win,Loss,W/L Ratio,Kill,Death,Assist,KDA,CS,CS/M,Gold(k),Gold/M,Kill Participation,Kill Share,Gold Share
Ezreal,11,4,7,36.4%,2.64,1.55,2.55,3.35,360.45,10.63,15.3,452,81.4%,41.4%,26.5%
Xayah,10,8,2,80%,4.7,0.6,4,14.5,400,11.37,17.3,491,77.7%,42%,26.7%
Kalista,7,6,1,85.7%,4.14,1.14,5.29,8.25,348.86,10.95,15.5,488,75.9%,33.3%,26.2%
Sona,4,1,3,25%,1.75,1.5,5.5,4.83,227.25,6.72,13.8,408,70.7%,17.1%,22.9%
Varus,3,1,2,33.3%,3,2,1.67,2.33,295.67,10.27,12.2,424,70%,45%,24.7%
Lucian,2,1,1,50%,3,2,3,3,338,10.64,14,440,70.6%,35.3%,25.5%
Sivir,2,1,1,50%,1.5,1,5.5,7,348.5,11.24,13.9,447,93.3%,20%,25.7%
Vayne,2,0,2,0%,2,2,1,1.5,271,9.63,10.7,382,100%,66.7%,24.7%
Ashe,1,1,0,100%,3,2,9,6,493,10.45,22.1,469,92.3%,23.1%,26.9%
Yasuo,1,1,0,100%,1,1,8,9,315,9.63,14.9,456,52.9%,5.9%,22%
Kai'Sa,1,0,1,0%,3,3,2,1.67,350,10.04,14.9,427,62.5%,37.5%,25.6%
