,Games,Win,Loss,W/L Ratio,Kill,Death,Assist,KDA,CS,CS/M,Gold(k),Gold/M,Kill Participation,Kill Share,Gold Share
Lissandra,6,3,3,50%,2.67,2.33,5.17,3.36,272.5,8.25,12.2,368,62.7%,21.3%,20.7%
Galio,3,0,3,0%,1,4,2.67,0.92,216.67,7.81,8.9,320,68.8%,18.8%,20.2%
Zoe,3,0,3,0%,1.67,3,5,2.22,270,8.17,11.5,347,71.4%,17.9%,21.7%
Akali,2,1,1,50%,2.5,2.5,6.5,3.6,319.5,8.84,14.1,391,64.3%,17.9%,22.3%
Cassiopeia,2,0,2,0%,1.5,4.5,0.5,0.44,250,8.18,10,326,57.1%,42.9%,21.4%
Aurelion Sol,1,1,0,100%,2,2,8,5,322,7.64,14.9,354,58.8%,11.8%,20.7%
Syndra,1,1,0,100%,3,3,13,5.33,418,7.28,21.8,379,88.9%,16.7%,20.6%
Azir,1,0,1,0%,1,3,1,0.67,216,8.27,8.7,331,50%,25%,21.6%
Lulu,1,0,1,0%,0,1,0,0,298,9.65,10.9,353,0%,0%,22.3%
Sylas,1,0,1,0%,2,4,4,1.5,308,8.18,13,345,75%,25%,21.9%
Taliyah,1,0,1,0%,2,3,5,2.33,391,8.56,17.4,381,53.8%,15.4%,21.6%
