,Games,Win,Loss,W/L Ratio,Kill,Death,Assist,KDA,CS,CS/M,Gold(k),Gold/M,Kill Participation,Kill Share,Gold Share
Taliyah,10,8,2,80%,3.2,1.8,7.1,5.72,255.7,8.05,12.4,389,67.8%,21.1%,20.7%
Azir,10,4,6,40%,1.7,2.6,4.3,2.31,305.9,9.03,13.3,392,58.3%,16.5%,22.3%
Corki,5,2,3,40%,5.2,2.8,2.4,2.71,274,8.78,13.2,425,82.6%,56.5%,24%
Sylas,5,2,3,40%,3.6,2.8,4.6,2.93,317.2,8.6,14.6,394,73.2%,32.1%,22.5%
Yasuo,3,3,0,100%,4.67,1.33,5.67,7.75,320,9.61,15.1,455,68.9%,31.1%,23%
Neeko,3,2,1,66.7%,0.67,2,6,3.33,239,7.81,10.4,339,62.5%,6.3%,19.5%
Ryze,3,2,1,66.7%,2,2.67,4.67,2.5,304.33,7.96,14,366,50%,15%,20.4%
Karma,3,1,2,33.3%,1,1,6,7,282,7.62,12.3,332,80.8%,11.5%,19.5%
Akali,1,1,0,100%,4,3,5,3,276,7.26,13.6,358,50%,22.2%,19.2%
Twisted Fate,1,1,0,100%,4,2,5,4.5,431,9.29,21.8,471,40.9%,18.2%,22.5%
Irelia,1,0,1,0%,3,5,1,0.8,236,8.55,10.4,377,50%,37.5%,24.1%
Jayce,1,0,1,0%,5,3,6,3.67,226,7.36,11.8,384,68.8%,31.3%,23%
