,Games,Win,Loss,W/L Ratio,Kill,Death,Assist,KDA,CS,CS/M,Gold(k),Gold/M,Kill Participation,Kill Share,Gold Share
Olaf,8,3,5,37.5%,2.38,3.5,2.25,1.32,180.63,5.94,10.6,348,49.3%,25.3%,20.1%
Lee Sin,6,1,5,16.7%,1.33,3.33,4.83,1.85,155.17,5.16,9.4,312,77.1%,16.7%,19.2%
Elise,4,3,1,75%,3.75,1.75,7.75,6.57,183.5,5.27,12,346,75.4%,24.6%,19.5%
Sylas,4,2,2,50%,2,4.75,4.25,1.32,211.25,6.37,12,361,73.5%,23.5%,21%
Rek'Sai,3,2,1,66.7%,6,2.33,7.33,5.71,248.33,6.18,16,397,75.5%,34%,20.8%
Gragas,2,1,1,50%,1.5,1.5,2.5,2.67,195.5,5.58,11,315,57.1%,21.4%,18.4%
Karthus,2,1,1,50%,2.5,5,7,1.9,280.5,8.33,13.8,411,59.4%,15.6%,22.4%
Taliyah,2,0,2,0%,1,1,2.5,3.5,218.5,6.45,10.9,323,70%,20%,19.2%
Jarvan IV,1,0,1,0%,1,2,11,6,180,5.23,10.7,311,92.3%,7.7%,18.3%
Sejuani,1,0,1,0%,3,3,8,3.67,144,4.71,9.5,309,91.7%,25%,20%
