,Games,Win,Loss,W/L Ratio,Kill,Death,Assist,KDA,CS,CS/M,Gold(k),Gold/M,Kill Participation,Kill Share,Gold Share
Kennen,4,0,4,0%,2.5,3.5,2.25,1.36,319,9.03,14.6,412,46.3%,24.4%,24.6%
Jax,2,1,1,50%,2,2.5,2.5,1.8,223.5,8.13,10.2,371,60%,26.7%,22.5%
Renekton,2,1,1,50%,2,2,6,4,258.5,8.68,12.1,406,53.3%,13.3%,21.9%
Viktor,2,1,1,50%,3,2.5,2.5,2.2,350.5,8.73,15.7,390,73.3%,40%,22.8%
Aatrox,1,1,0,100%,3,3,5,2.67,297,9.02,14.8,450,47.1%,17.6%,22.8%
Jarvan IV,1,1,0,100%,3,0,14,17,247,8.84,11.4,408,77.3%,13.6%,19.6%
Neeko,1,1,0,100%,7,3,2,3,274,8.63,14,440,42.9%,33.3%,21.3%
Vayne,1,1,0,100%,3,2,1,2,393,9.82,18,450,28.6%,21.4%,23.6%
Gangplank,1,0,1,0%,1,2,6,3.5,359,9.16,17.1,436,63.6%,9.1%,24%
Gnar,1,0,1,0%,4,1,3,7,280,9.16,13.1,429,70%,40%,24.9%
Karma,1,0,1,0%,1,2,2,1.5,217,6.99,10.2,330,37.5%,12.5%,20%
Rumble,1,0,1,0%,1,2,1,1,281,7.72,12,330,40%,20%,20.3%
