,Games,Win,Loss,W/L Ratio,Kill,Death,Assist,KDA,CS,CS/M,Gold(k),Gold/M,Kill Participation,Kill Share,Gold Share
Lee Sin,2,1,1,50%,3,2,9,6,177.5,5.46,11.1,341,80%,20%,18.3%
Olaf,2,1,1,50%,1.5,2,8,4.75,186,5.6,11.3,340,79.2%,12.5%,18.7%
Aatrox,2,0,2,0%,2.5,3,6,2.83,207,5.3,12.6,321,81%,23.8%,18.8%
Kha'Zix,2,0,2,0%,1,2.5,2,1.2,225,5.95,11.7,310,54.5%,18.2%,20%
Jarvan IV,1,1,0,100%,2,3,10,4,177,4.91,12.1,336,100%,16.7%,18.8%
Nocturne,1,1,0,100%,4,3,5,3,186,5.29,11.5,328,52.9%,23.5%,16.7%
Rengar,1,1,0,100%,4,1,5,9,201,5.11,13.1,334,47.4%,21.1%,17.9%
Evelynn,1,0,1,0%,2,3,3,1.67,195,5.25,11.9,319,71.4%,28.6%,19.7%
Jayce,1,0,1,0%,1,4,1,0.5,151,5.54,8,294,100%,50%,18.7%
Kayn,1,0,1,0%,3,7,5,1.14,133,4.64,9.8,342,57.1%,21.4%,20.4%
Kindred,1,0,1,0%,3,5,5,1.6,231,5.95,13,334,88.9%,33.3%,20.4%
Sejuani,1,0,1,0%,2,5,3,1,149,4.53,9.6,292,71.4%,28.6%,17.4%
