,Games,Win,Loss,W/L Ratio,Kill,Death,Assist,KDA,CS,CS/M,Gold(k),Gold/M,Kill Participation,Kill Share,Gold Share
Rengar,3,3,0,100%,3.33,3,7.33,3.56,201.33,6.1,12.3,372,65.3%,20.4%,19.7%
Olaf,3,0,3,0%,4,5,7.33,2.27,179.67,5.38,11.9,355,70.8%,25%,19.7%
Jarvan IV,2,2,0,100%,2,1.5,7,6,132.5,4.43,10.1,337,85.7%,19%,17.7%
Qiyana,2,1,1,50%,7,3,3.5,3.5,128.5,4.64,10,362,65.6%,43.8%,19.7%
Gragas,2,0,2,0%,2,3.5,1.5,1,165.5,5.74,9.1,315,63.6%,36.4%,20.6%
Kayn,1,1,0,100%,7,1,7,14,145,5.18,11.2,401,82.4%,41.2%,20.8%
Aatrox,1,0,1,0%,5,3,6,3.67,228,5.16,14.9,337,78.6%,35.7%,20%
Pyke,1,0,1,0%,0,3,2,0.67,135,4.89,7.8,281,66.7%,0%,18.3%
Sejuani,1,0,1,0%,0,2,3,1.5,120,4.51,7.3,275,30%,0%,17%
Sylas,1,0,1,0%,0,5,6,1.2,190,5.31,10.4,292,85.7%,0%,18.5%
Yasuo,1,0,1,0%,3,4,4,1.75,209,7.29,10.7,372,58.3%,25%,21.8%
