,Games,Win,Loss,W/L Ratio,Kill,Death,Assist,KDA,CS,CS/M,Gold(k),Gold/M,Kill Participation,Kill Share,Gold Share
Urgot,3,2,1,66.7%,3.67,3.67,6.67,2.82,283,6.88,14.9,362,58.5%,20.8%,20.3%
Sion,3,1,2,33.3%,1.33,2.67,3.33,1.75,212.33,7.36,9.6,331,58.3%,16.7%,19.7%
Sylas,2,1,1,50%,3.5,1.5,4.5,5.33,290,7.83,14.1,381,61.5%,26.9%,21.7%
Yorick,2,0,2,0%,0,4.5,3.5,0.78,306,7.79,14.6,373,28%,0%,21.1%
Akali,1,1,0,100%,2,1,4,6,334,8.8,15.1,398,50%,16.7%,20.9%
Jax,1,1,0,100%,3,0,6,9,336,8.38,17.5,436,56.3%,18.8%,22.3%
Jayce,1,1,0,100%,12,3,11,7.67,327,7.08,21.5,466,85.2%,44.4%,24.1%
Neeko,1,1,0,100%,3,2,4,3.5,308,8.82,15.2,434,43.8%,18.8%,22.5%
Ornn,1,1,0,100%,1,1,7,8,204,6.61,10.9,355,61.5%,7.7%,17.8%
Viktor,1,1,0,100%,2,1,7,9,219,7.67,11.9,416,64.3%,14.3%,20.8%
Darius,1,0,1,0%,3,5,3,1.2,226,7.33,10.9,353,66.7%,33.3%,21.7%
Renekton,1,0,1,0%,1,1,2,3,292,8.6,12,354,42.9%,14.3%,21.4%
