,Games,Win,Loss,W/L Ratio,Kill,Death,Assist,KDA,CS,CS/M,Gold(k),Gold/M,Kill Participation,Kill Share,Gold Share
Rumble,4,2,2,50%,2.5,2.5,3.75,2.5,294.75,8.27,13.6,381,67.6%,27%,21.8%
Cassiopeia,2,2,0,100%,4.5,0,5,19,316.5,9.67,15.1,462,61.3%,29%,23.9%
Karma,2,0,2,0%,1,2.5,7.5,3.4,270.5,7.62,13.1,368,68%,8%,21.1%
Viktor,1,1,0,100%,2,3,6,2.67,281,8.49,13.4,405,72.7%,18.2%,20.9%
Jayce,1,0,1,0%,0,4,4,1,262,8.02,11.2,343,57.1%,0%,20%
Lissandra,1,0,1,0%,1,4,7,2,251,6.62,12.4,326,66.7%,8.3%,20.3%
Lucian,1,0,1,0%,0,2,0,0,279,9.45,10.7,364,0%,0%,23.3%
Malphite,1,0,1,0%,5,3,8,4.33,308,6.88,15.7,352,72.2%,27.8%,20.7%
Ryze,1,0,1,0%,5,6,3,1.33,347,8.95,16,412,66.7%,41.7%,23.8%
Sion,1,0,1,0%,0,2,4,2,317,7.71,13.1,318,57.1%,0%,18.9%
Urgot,1,0,1,0%,4,6,2,1,254,7.57,12.2,365,75%,50%,22.4%
Vayne,1,0,1,0%,0,3,0,0,278,9.43,10.4,354,0%,0%,21.9%
Zilean,1,0,1,0%,0,5,6,1.2,317,6.17,18.1,352,85.7%,0%,21.1%
