,Games,Win,Loss,W/L Ratio,Kill,Death,Assist,KDA,CS,CS/M,Gold(k),Gold/M,Kill Participation,Kill Share,Gold Share
Camille,3,3,0,100%,3.33,3,7,3.44,169.33,5.02,11.9,351,70.5%,22.7%,17.9%
Nocturne,3,3,0,100%,4,1.67,8.33,7.4,188,5.72,12.1,368,61.7%,20%,19%
Kindred,2,2,0,100%,3.5,3,5,2.83,195,5.16,12.8,338,53.1%,21.9%,18.4%
Sejuani,2,2,0,100%,1,0.5,9,20,141,5.02,9.6,341,76.9%,7.7%,17.9%
Gragas,1,1,0,100%,0,3,10,3.33,188,5.12,11.3,308,71.4%,0%,17.3%
Jarvan IV,1,1,0,100%,2,1,10,12,139,5.58,9.7,390,92.3%,15.4%,19.6%
Aatrox,1,0,1,0%,2,7,2,0.57,161,3.97,11.1,274,66.7%,33.3%,16.9%
Lee Sin,1,0,1,0%,2,3,4,2,202,5.37,11.4,303,85.7%,28.6%,18.3%
Nunu,1,0,1,0%,1,7,4,0.71,157,4.32,9.8,269,45.5%,9.1%,17%
Rek'Sai,1,0,1,0%,4,2,8,6,199,5.82,12.4,362,100%,33.3%,21.2%
