,Games,Win,Loss,W/L Ratio,Kill,Death,Assist,KDA,CS,CS/M,Gold(k),Gold/M,Kill Participation,Kill Share,Gold Share
Rakan,6,2,4,33.3%,1.5,3.17,7.5,2.84,15.83,0.43,8.5,232,88.5%,14.8%,13.9%
Braum,2,2,0,100%,1.5,0.5,5.5,14,51,1.68,7.8,259,63.6%,13.6%,13.5%
Nautilus,2,1,1,50%,0,5,5.5,1.1,47,1.48,6.8,214,78.6%,0%,12.9%
Thresh,2,1,1,50%,1,1.5,8,6,15.5,0.48,8.2,254,78.3%,8.7%,14.5%
Pyke,1,1,0,100%,3,4,3,1.5,29,0.68,12.7,296,33.3%,16.7%,16.1%
Tahm Kench,1,1,0,100%,0,1,9,9,57,1.84,8,260,75%,0%,13.9%
Bard,1,0,1,0%,0,1,5,5,26,0.74,7.3,210,100%,0%,13.6%
Lux,1,0,1,0%,0,3,6,2,22,0.71,6.9,223,85.7%,0%,14.2%
Morgana,1,0,1,0%,1,0,3,4,20,0.58,7.5,218,66.7%,16.7%,14%
Taric,1,0,1,0%,0,1,9,9,117,3.17,9.2,249,100%,0%,14.8%
Yuumi,1,0,1,0%,0,3,5,1.67,16,0.53,5.9,194,83.3%,0%,12.1%
