,Games,Win,Loss,W/L Ratio,Kill,Death,Assist,KDA,CS,CS/M,Gold(k),Gold/M,Kill Participation,Kill Share,Gold Share
Urgot,3,3,0,100%,4.67,0.33,3,23,267.67,9.18,12.7,434,56.1%,34.1%,22.9%
Kennen,2,2,0,100%,5.5,1.5,6,7.67,218.5,8.6,12.1,478,60.5%,28.9%,23%
Akali,2,1,1,50%,4.5,3,3,2.5,307.5,8.31,14.3,387,48.4%,29%,20.7%
Aatrox,1,1,0,100%,1,2,7,4,278,7.35,13.9,367,50%,6.3%,20.6%
Irelia,1,1,0,100%,4,1,4,8,269,9.13,13.1,446,57.1%,28.6%,23.2%
Poppy,1,1,0,100%,2,1,3,5,220,8.33,10.8,409,55.6%,22.2%,21.6%
Sion,1,1,0,100%,2,1,2,4,233,9.26,10.3,411,50%,25%,20.2%
Sylas,1,1,0,100%,2,3,9,3.67,334,8.38,16.2,406,57.9%,10.5%,20.6%
Jayce,1,0,1,0%,1,2,6,3.5,305,8.2,14.1,380,53.8%,7.7%,20.7%
Vladimir,1,0,1,0%,0,3,0,0,207,7.48,8.1,295,-nan%,-nan%,20.9%
