,Games,Win,Loss,W/L Ratio,Kill,Death,Assist,KDA,CS,CS/M,Gold(k),Gold/M,Kill Participation,Kill Share,Gold Share
Jayce,3,3,0,100%,2,2,7,4.5,312.33,8.91,14.7,419,58.7%,13%,21.6%
Aatrox,2,2,0,100%,6.5,2,3.5,5,306.5,9.44,15.2,468,58.8%,38.2%,24%
Kennen,2,2,0,100%,1.5,1.5,3.5,3.33,205.5,8.05,10.1,397,37%,11.1%,19.9%
Neeko,2,2,0,100%,7.5,1,3,10.5,303,9.62,16.7,529,52.5%,37.5%,26.2%
Gnar,2,1,1,50%,2.5,0.5,7,19,277,8.17,13.5,397,79.2%,20.8%,21.9%
Annie,1,1,0,100%,1,2,5,3,224,8.51,11.9,454,35.3%,5.9%,22.5%
Kled,1,1,0,100%,6,5,6,2.4,242,7.84,13.4,434,80%,40%,21.4%
Mordekaiser,1,1,0,100%,3,2,7,5,274,7.5,13.3,364,62.5%,18.8%,19.8%
Renekton,1,1,0,100%,1,1,4,5,286,9.38,13.2,433,62.5%,12.5%,23%
Rumble,1,1,0,100%,0,0,11,11,238,8.2,11.6,401,68.8%,0%,19.8%
Yorick,1,1,0,100%,2,3,7,3,193,6.71,10.6,368,60%,13.3%,20.3%
Ryze,1,0,1,0%,1,7,3,0.57,296,7.75,12.6,331,66.7%,16.7%,20.8%
