,Games,Win,Loss,W/L Ratio,Kill,Death,Assist,KDA,CS,CS/M,Gold(k),Gold/M,Kill Participation,Kill Share,Gold Share
Aatrox,5,3,2,60%,3.4,3.2,4.8,2.56,233.8,7.72,12.1,400,55.4%,23%,21.3%
Renekton,2,1,1,50%,5.5,4.5,3.5,2,238,8.19,12.8,439,45%,27.5%,21.8%
Rengar,2,1,1,50%,2.5,5,4,1.3,265.5,7.18,14.5,391,54.2%,20.8%,20.8%
Gangplank,1,1,0,100%,8,4,10,4.5,335,9.32,20.2,561,75%,33.3%,25.6%
Gnar,1,1,0,100%,0,2,6,3,256,8.23,11.9,382,40%,0%,19.3%
Jax,1,1,0,100%,2,4,8,2.5,317,7.93,17.1,427,66.7%,13.3%,21.7%
Jayce,1,1,0,100%,9,2,9,9,274,8.4,16.3,498,81.8%,40.9%,24.5%
Karma,1,1,0,100%,1,1,12,13,215,7.53,11.2,392,72.2%,5.6%,19.8%
Kayn,1,1,0,100%,7,6,19,4.33,169,5.33,14.1,445,63.4%,17.1%,21.2%
Shen,1,1,0,100%,2,1,8,10,206,6.71,10.6,347,76.9%,15.4%,18.8%
Sylas,1,1,0,100%,3,1,6,9,225,8.31,11.1,411,64.3%,21.4%,19.1%
Urgot,1,1,0,100%,11,3,9,6.67,328,7.71,21.3,500,74.1%,40.7%,24.3%
