,Games,Win,Loss,W/L Ratio,Kill,Death,Assist,KDA,CS,CS/M,Gold(k),Gold/M,Kill Participation,Kill Share,Gold Share
Sylas,3,3,0,100%,6,1,6.67,12.67,292.67,9.7,14.7,487,73.1%,34.6%,24.1%
Ryze,3,2,1,66.7%,4.67,3.33,4,2.6,275,8.62,13.3,416,61.9%,33.3%,22.6%
Akali,2,2,0,100%,7,2,6,6.5,268,8.61,14.1,454,72.2%,38.9%,22.6%
Irelia,2,1,1,50%,4,4,4,2,214,8.69,10.4,421,72.7%,36.4%,23.3%
LeBlanc,2,1,1,50%,7.5,2.5,5.5,5.2,241,7.14,13.6,404,70.3%,40.5%,22%
Morgana,2,1,1,50%,3.5,2,5,4.25,196.5,7.97,10.1,409,60.7%,25%,21.8%
Lissandra,1,1,0,100%,6,4,12,4.5,241,7.88,14.9,486,85.7%,28.6%,24.1%
Azir,1,0,1,0%,0,5,2,0.4,307,8.87,11.8,341,25%,0%,21.2%
Corki,1,0,1,0%,2,7,4,0.86,258,8.6,11.1,369,100%,33.3%,23.4%
Vladimir,1,0,1,0%,6,6,5,1.83,202,6.99,12.3,425,78.6%,42.9%,26.3%
