,Games,Win,Loss,W/L Ratio,Kill,Death,Assist,KDA,CS,CS/M,Gold(k),Gold/M,Kill Participation,Kill Share,Gold Share
Ryze,5,3,2,60%,1.6,3,3.8,1.8,321.2,10.13,13.6,430,52.9%,15.7%,23.7%
Syndra,4,4,0,100%,7,1.5,6.75,9.17,290,8.73,15.4,464,71.4%,36.4%,23.7%
Orianna,2,2,0,100%,3,2,10.5,6.75,270.5,8.52,12.9,405,77.1%,17.1%,20.7%
Yasuo,1,1,0,100%,2,2,7,4.5,284,9.35,14.1,465,50%,11.1%,22.6%
Zoe,1,1,0,100%,6,0,10,16,158,6.42,10.1,410,61.5%,23.1%,18.8%
Cassiopeia,1,0,1,0%,1,4,2,0.75,245,8.6,9.9,347,75%,25%,22.8%
Pyke,1,0,1,0%,3,4,3,1.5,195,4.77,13,317,85.7%,42.9%,18.5%
Renekton,1,0,1,0%,3,5,4,1.4,302,6.81,15.2,343,58.3%,25%,20%
Tristana,1,0,1,0%,1,4,1,0.5,207,8.08,8.8,342,50%,25%,23.1%
Veigar,1,0,1,0%,1,2,2,1.5,237,7.8,10.1,331,37.5%,12.5%,20.6%
