,Games,Win,Loss,W/L Ratio,Kill,Death,Assist,KDA,CS,CS/M,Gold(k),Gold/M,Kill Participation,Kill Share,Gold Share
Irelia,2,2,0,100%,5,0.5,10,30,218.5,8.14,12.1,451,66.7%,22.2%,22.1%
Jayce,2,2,0,100%,6.5,2.5,5,4.6,248,7.6,13.8,423,54.8%,31%,22.1%
Vladimir,2,2,0,100%,4,4,9.5,3.38,277,7.89,15.1,430,61.4%,18.2%,21%
Aatrox,2,1,1,50%,4,2,4,4,254.5,8,12.6,395,55.2%,27.6%,22.5%
Akali,1,1,0,100%,6,3,12,6,224,6.19,13.8,381,72%,24%,19.9%
Gangplank,1,1,0,100%,2,1,11,13,263,7.1,14.8,401,54.2%,8.3%,20.3%
Karma,1,1,0,100%,2,0,12,14,215,7.1,12.1,398,70%,10%,19.7%
Neeko,1,1,0,100%,4,2,8,6,242,7.23,12.7,378,63.2%,21.1%,19.4%
Ryze,1,1,0,100%,5,4,6,2.75,292,9.74,14.9,496,64.7%,29.4%,24.9%
Camille,1,0,1,0%,0,5,4,0.8,193,6.3,9.2,300,30.8%,0%,18.6%
