,Games,Win,Loss,W/L Ratio,Kill,Death,Assist,KDA,CS,CS/M,Gold(k),Gold/M,Kill Participation,Kill Share,Gold Share
Gragas,3,2,1,66.7%,2.33,1.67,9.67,7.2,143,4.4,10.2,314,69.2%,13.5%,16.8%
Sejuani,3,1,2,33.3%,3.33,3,8,3.78,151.67,4.29,11.2,317,79.1%,23.3%,18%
Skarner,2,1,1,50%,0,0.5,3.5,7,159.5,5.17,9.5,307,53.8%,0%,17%
Vi,2,1,1,50%,1.5,2.5,6.5,3.2,167.5,5.6,10.3,343,61.5%,11.5%,18.7%
Lee Sin,2,0,2,0%,2.5,4,4,1.63,144,4.39,10.1,307,92.9%,35.7%,18.1%
Sylas,2,0,2,0%,1,3.5,7,2.29,146.5,4.48,9.5,292,80%,10%,17.2%
Evelynn,1,1,0,100%,7,3,11,6,190,5.72,13.4,402,78.3%,30.4%,20%
Rek'Sai,1,1,0,100%,1,4,7,2,156,4.5,10.1,292,50%,6.3%,15.6%
Jarvan IV,1,0,1,0%,0,2,3,1.5,140,4.5,8,257,60%,0%,17.2%
Olaf,1,0,1,0%,1,4,2,0.75,133,5.36,7.2,292,50%,16.7%,19.3%
Xin Zhao,1,0,1,0%,1,2,1,1,134,4.52,8.2,276,33.3%,16.7%,16.3%
