,Games,Win,Loss,W/L Ratio,Kill,Death,Assist,KDA,CS,CS/M,Gold(k),Gold/M,Kill Participation,Kill Share,Gold Share
Rakan,4,2,2,50%,1.25,2.5,7,3.3,18.25,0.54,7.3,214,63.5%,9.6%,12.5%
Nautilus,3,1,2,33.3%,1.67,4,5.33,1.75,62,1.66,8.7,232,58.3%,13.9%,13.3%
Alistar,2,1,1,50%,0.5,2,8.5,4.5,37.5,1.29,6.5,222,72%,4%,13%
Lux,2,1,1,50%,1,2,11.5,6.25,21,0.62,8.8,261,62.5%,5%,14%
Taric,2,1,1,50%,1,1.5,6.5,5,144,4.4,9.9,304,75%,10%,17.6%
Tahm Kench,1,1,0,100%,0,1,9,9,67,1.83,9.3,253,56.3%,0%,13.8%
Bard,1,0,1,0%,3,9,11,1.56,30,0.95,9,285,56%,12%,15.9%
Braum,1,0,1,0%,1,3,2,1,55,2.03,6.4,237,75%,25%,15.2%
Pyke,1,0,1,0%,3,4,5,2,48,1.93,7,280,100%,37.5%,18.6%
Yuumi,1,0,1,0%,1,3,5,2,5,0.18,5.9,211,100%,16.7%,13.5%
