,Games,Win,Loss,W/L Ratio,Kill,Death,Assist,KDA,CS,CS/M,Gold(k),Gold/M,Kill Participation,Kill Share,Gold Share
Corki,3,2,1,66.7%,7,1,7.67,14.67,343.33,10.53,17.9,550,77.2%,36.8%,27.4%
Azir,3,1,2,33.3%,3,2.67,1,1.5,309.67,8.87,13.7,393,38.7%,29%,22.6%
Irelia,2,1,1,50%,3,2,1.5,2.25,405,10.11,17.5,437,52.9%,35.3%,25.3%
Ryze,2,1,1,50%,2,1,4,6,290.5,9.44,11.9,386,60%,20%,22.1%
Aatrox,2,0,2,0%,1,4,0.5,0.38,271,8.05,11.4,340,30%,20%,20.9%
Akali,1,1,0,100%,2,4,8,2.5,293,8.9,13.1,397,58.8%,11.8%,20.1%
Camille,1,1,0,100%,4,2,8,6,227,8.12,12.4,445,54.5%,18.2%,21.4%
Jayce,1,0,1,0%,5,3,6,3.67,302,8.52,14.2,402,61.1%,27.8%,23.3%
Sylas,1,0,1,0%,1,3,1,0.67,273,8.35,11,336,40%,20%,21.6%
Taliyah,1,0,1,0%,1,2,3,2,290,8.4,12.3,355,100%,25%,22.6%
Twisted Fate,1,0,1,0%,1,2,0,0.5,255,8.21,11.9,383,12.5%,12.5%,23.3%
