,Games,Win,Loss,W/L Ratio,Kill,Death,Assist,KDA,CS,CS/M,Gold(k),Gold/M,Kill Participation,Kill Share,Gold Share
Renekton,15,11,4,73.3%,2.67,2.07,7.13,4.74,259.47,7.95,12.8,392,58.3%,15.9%,21%
Ornn,13,8,5,61.5%,1.54,2.08,7.46,4.33,234.38,6.76,11.7,339,70.1%,12%,19.5%
Wukong,3,2,1,66.7%,3,3,4.67,2.56,245.67,7.98,12.1,393,52.3%,20.5%,22%
Mordekaiser,3,1,2,33.3%,1.33,2,3,2.17,287.33,8.42,12.9,377,41.9%,12.9%,21.8%
Volibear,3,1,2,33.3%,3.33,2.33,6,4,242.33,7.09,12.3,360,53.8%,19.2%,19.8%
Hecarim,2,1,1,50%,1,4.5,3.5,1,212,6.74,10.6,337,45%,10%,20%
Aatrox,1,0,1,0%,0,3,4,1.33,217,6.95,9.4,302,57.1%,0%,19.4%
Camille,1,0,1,0%,2,3,1,1,293,8.97,13.3,407,60%,40%,24.1%
Kennen,1,0,1,0%,0,3,2,0.67,242,7.01,11.1,321,50%,0%,20.2%
Sett,1,0,1,0%,1,4,0,0.25,189,7.07,8.2,306,50%,50%,20.7%
