,Games,Win,Loss,W/L Ratio,Kill,Death,Assist,KDA,CS,CS/M,Gold(k),Gold/M,Kill Participation,Kill Share,Gold Share
Azir,12,9,3,75%,3.5,0.92,5,9.27,300.42,9.52,13.9,441,66.7%,27.5%,23.4%
Zoe,7,4,3,57.1%,4,1.86,7.29,6.08,263.14,8.07,12.9,395,72.5%,25.7%,21.9%
Twisted Fate,5,5,0,100%,4,0.8,7,13.75,241.2,8.69,12.6,455,59.1%,21.5%,22.6%
Akali,4,4,0,100%,6,2.25,7.75,6.11,251,8.28,13.1,432,56.7%,24.7%,21.6%
Ekko,4,3,1,75%,4.75,1.5,4.25,6,321.75,9.67,15,451,53.7%,28.4%,23%
Orianna,4,3,1,75%,2.25,2.25,5.25,3.33,288,9.52,12.8,423,68.2%,20.5%,23.5%
Galio,2,1,1,50%,2.5,2,5,3.75,247,8.14,11.1,366,60%,20%,21.1%
Karma,1,1,0,100%,4,0,6,10,259,8.39,12.5,405,66.7%,26.7%,21.1%
Taliyah,1,1,0,100%,8,0,7,15,235,8.29,12.4,437,78.9%,42.1%,22.6%
Pantheon,1,0,1,0%,3,3,7,3.33,291,7.44,13.6,347,76.9%,23.1%,21%
Sylas,1,0,1,0%,3,3,3,2,279,8.13,12.8,374,85.7%,42.9%,23.3%
Syndra,1,0,1,0%,3,6,3,1,268,7.38,12.7,349,60%,30%,21.8%
