,Games,Win,Loss,W/L Ratio,Kill,Death,Assist,KDA,CS,CS/M,Gold(k),Gold/M,Kill Participation,Kill Share,Gold Share
Aatrox,7,2,5,28.6%,2.57,2.43,3.71,2.59,242.57,7.12,11.9,350,62.9%,25.7%,21.5%
Ornn,4,3,1,75%,2.25,1.75,5,4.14,229,7.68,10.7,358,53.7%,16.7%,20.1%
Gangplank,4,2,2,50%,3.25,2.75,3.25,2.36,327,8.51,16.3,425,70.3%,35.1%,24.7%
Renekton,3,3,0,100%,4.33,1,5.33,9.67,255.33,8.08,13.3,421,56.9%,25.5%,22.4%
Mordekaiser,3,2,1,66.7%,4,5,6.33,2.07,179.33,5.24,10.9,318,55.4%,21.4%,17.8%
Fiora,2,1,1,50%,2.5,2.5,2,1.8,290,9.06,13,406,47.4%,26.3%,23.1%
Sett,2,1,1,50%,1.5,4,5,1.63,191.5,5.91,10,310,61.9%,14.3%,18%
Camille,2,0,2,0%,1.5,5,4,1.1,424.5,9.37,18.4,407,50%,13.6%,23.5%
Maokai,2,0,2,0%,0.5,4.5,1.5,0.44,157.5,5.41,8.2,282,50%,12.5%,19.2%
Jax,1,1,0,100%,5,1,9,14,203,7.58,11.5,429,60.9%,21.7%,20.7%
Sylas,1,1,0,100%,2,1,7,9,183,6.2,10.3,351,60%,13.3%,18.6%
Vladimir,1,1,0,100%,7,2,9,8,341,8.05,18.1,426,94.1%,41.2%,23.1%
Jayce,1,0,1,0%,0,3,0,0,203,8.19,9.1,366,0%,0%,25.1%
Quinn,1,0,1,0%,0,3,1,0.33,294,9.33,11.4,363,50%,0%,24.7%
