,Games,Win,Loss,W/L Ratio,Kill,Death,Assist,KDA,CS,CS/M,Gold(k),Gold/M,Kill Participation,Kill Share,Gold Share
Braum,6,5,1,83.3%,0.5,2.17,10.5,5.08,29.67,0.91,7.4,227,76.7%,3.5%,12.3%
Leona,5,4,1,80%,0.6,2.8,10.2,3.86,25.6,0.85,7.1,234,65.1%,3.6%,12.4%
Tahm Kench,4,3,1,75%,0.25,2.75,7.75,2.91,33.25,1.07,7,226,56.1%,1.8%,12.4%
Nautilus,4,2,2,50%,0.25,3.75,6.5,1.8,27.5,0.91,6.7,221,37.5%,1.4%,11.9%
Sett,3,3,0,100%,2.67,2.33,7.67,4.43,38,1.24,8.1,264,50%,12.9%,13.3%
Gragas,3,1,2,33.3%,1.33,2,4.67,3,28.67,0.91,6.9,219,54.5%,12.1%,12.7%
Alistar,2,2,0,100%,1,0.5,13,28,26,0.74,8.9,254,66.7%,4.8%,12.6%
Karma,2,2,0,100%,0.5,2,7,3.75,17,0.59,6.9,237,51.7%,3.4%,11.7%
Pantheon,2,2,0,100%,2.5,2,9,5.75,46,1.69,7.6,278,65.7%,14.3%,13.9%
Taric,2,2,0,100%,0.5,1.5,12.5,8.67,32,1.1,7.3,249,86.7%,3.3%,13.1%
Lulu,2,1,1,50%,0,1.5,6.5,4.33,16.5,0.51,6.9,211,59.1%,0%,12.1%
Zilean,1,0,1,0%,0,1,6,6,38,1.13,6.9,205,60%,0%,12.5%
