,Games,Win,Loss,W/L Ratio,Kill,Death,Assist,KDA,CS,CS/M,Gold(k),Gold/M,Kill Participation,Kill Share,Gold Share
Sejuani,8,5,3,62.5%,1.63,2.13,8.13,4.59,170.63,5.33,10.2,317,72.2%,12%,17.4%
Jarvan IV,8,3,5,37.5%,0.38,2.38,5.25,2.37,163.38,4.93,9.4,283,83.3%,5.6%,16.9%
Trundle,7,4,3,57.1%,0.86,2.29,6.43,3.19,151.29,5.18,8.9,303,60%,7.1%,16.9%
Lee Sin,6,3,3,50%,2.33,2.5,6.67,3.6,193.67,5.05,11.7,305,66.7%,17.3%,17.1%
Olaf,4,3,1,75%,2,2,6,4,190.5,5.45,11.1,319,58.2%,14.5%,17.2%
Rek'Sai,3,3,0,100%,1.33,1,8,9.33,186.33,5.82,10.9,340,60.9%,8.7%,17.7%
Sylas,3,1,2,33.3%,5.33,2,7,6.17,239.67,5.44,15.3,347,69.8%,30.2%,18.8%
Elise,2,0,2,0%,0,4.5,2.5,0.56,162,5.77,8.6,305,71.4%,0%,17.8%
Ivern,1,0,1,0%,0,1,0,0,177,5.45,8.9,275,-nan%,-nan%,18.1%
Taliyah,1,0,1,0%,0,6,3,0.5,178,6.12,8.6,296,60%,0%,18.9%
