,Games,Win,Loss,W/L Ratio,Kill,Death,Assist,KDA,CS,CS/M,Gold(k),Gold/M,Kill Participation,Kill Share,Gold Share
Trundle,8,7,1,87.5%,1.5,0.63,9.25,17.2,151.5,5.7,9.3,351,62.3%,8.7%,17.7%
Lee Sin,8,6,2,75%,3,2.5,7.75,4.3,177.63,5.41,11.4,347,66.7%,18.6%,18.1%
Nidalee,7,7,0,100%,5.14,1.14,6.43,10.13,194.86,7.64,11.5,451,73%,32.4%,21.9%
Sett,4,4,0,100%,4,2,9.75,6.88,159,5.31,10.4,348,64.7%,18.8%,17.4%
Rek'Sai,3,3,0,100%,5,2,7.67,6.33,177,6.03,11.3,386,60.3%,23.8%,19.1%
Olaf,3,2,1,66.7%,1.33,1.33,5.33,5,145,5.89,8.5,347,46.5%,9.3%,17.9%
Karthus,2,2,0,100%,4,2,10.5,7.25,214.5,8.07,11.1,419,87.9%,24.2%,21.1%
Lillia,2,2,0,100%,0.5,2,11.5,6,169,6.81,9.3,375,85.7%,3.6%,18.6%
Fiddlesticks,1,1,0,100%,2,1,9,11,159,6.84,8.7,376,84.6%,15.4%,19%
Graves,1,0,1,0%,0,2,2,1,180,6.32,8.6,303,33.3%,0%,19.2%
