,Games,Win,Loss,W/L Ratio,Kill,Death,Assist,KDA,CS,CS/M,Gold(k),Gold/M,Kill Participation,Kill Share,Gold Share
Zoe,6,5,1,83.3%,5.17,1.17,4,7.86,283.67,8.98,13.1,414,75.3%,42.5%,22.4%
Aatrox,4,4,0,100%,3.25,1.5,4.75,5.33,297.5,9.7,13.1,426,51.6%,21%,22.4%
LeBlanc,4,3,1,75%,5.75,0.75,4.5,13.67,287,9.2,13.3,426,77.4%,43.4%,23.2%
Azir,4,2,2,50%,1.75,2.25,4,2.56,363.75,11.03,14.6,444,57.5%,17.5%,25.3%
Lucian,4,2,2,50%,2.25,2.5,5,2.9,318.25,9.98,13.2,416,70.7%,22%,23.8%
Rumble,4,2,2,50%,2.25,1,5,7.25,305.5,9.13,13.2,396,67.4%,20.9%,22.2%
Sylas,3,3,0,100%,6,0.33,7.33,40,232.33,8.34,12.5,450,49.4%,22.2%,21.2%
Nautilus,3,2,1,66.7%,2.33,3,9.33,3.89,240.33,7.28,11.6,353,70%,14%,19.2%
Sett,2,1,1,50%,2,1.5,2.5,3,300.5,8.99,12.9,386,47.4%,21.1%,23.3%
Ziggs,2,1,1,50%,2,1,3,5,359,10.5,14.4,421,71.4%,28.6%,23.8%
Ekko,1,1,0,100%,3,0,4,7,377,11.08,15.6,458,46.7%,20%,23.1%
Galio,1,1,0,100%,2,1,11,13,269,8.12,12.8,387,72.2%,11.1%,20.7%
Kassadin,1,1,0,100%,5,0,5,10,317,11.17,13.5,476,71.4%,35.7%,25.8%
Orianna,1,1,0,100%,4,1,11,15,345,10.4,16.2,488,71.4%,19%,23.3%
Qiyana,1,1,0,100%,1,2,6,3.5,409,8.77,17.8,382,38.9%,5.6%,20.6%
Quinn,1,1,0,100%,3,0,3,6,353,10.43,15.8,468,30%,15%,24.1%
Akali,1,0,1,0%,2,4,4,1.5,269,8.18,11.5,351,75%,25%,22.7%
Neeko,1,0,1,0%,1,1,5,6,312,9.44,12.1,367,85.7%,14.3%,22.7%
Ornn,1,0,1,0%,0,2,2,1,344,7.21,15,314,50%,0%,21%
Viktor,1,0,1,0%,1,3,2,1,314,8.86,12.3,346,60%,20%,22%
