,Games,Win,Loss,W/L Ratio,Kill,Death,Assist,KDA,CS,CS/M,Gold(k),Gold/M,Kill Participation,Kill Share,Gold Share
Volibear,10,8,2,80%,2.6,1.9,6.8,4.95,193.1,5.69,11.3,334,63.9%,17.7%,17.9%
Sett,7,6,1,85.7%,2,1.43,9,7.7,173.86,5.54,10.4,333,64.7%,11.8%,17.1%
Olaf,5,4,1,80%,1.6,1.8,4.8,3.56,173.2,5.27,10.2,309,58.2%,14.5%,17.1%
Nidalee,3,2,1,66.7%,1.33,2,6,3.67,181.67,5.78,10.4,331,59.5%,10.8%,17.4%
Kha'Zix,2,1,1,50%,1,1.5,6.5,5,180,6.55,9.5,344,68.2%,9.1%,19.2%
Lee Sin,2,0,2,0%,2,2.5,1.5,1.4,173.5,5.35,9.6,297,46.7%,26.7%,17.7%
Karthus,1,1,0,100%,5,0,6,11,237,8.96,11.7,441,64.7%,29.4%,21.8%
Lillia,1,1,0,100%,2,2,10,6,195,5.96,10.6,325,63.2%,10.5%,17.3%
Rek'Sai,1,1,0,100%,8,1,4,12,182,6.92,11.9,453,63.2%,42.1%,22.5%
Graves,1,0,1,0%,0,2,4,2,217,6.56,10.3,310,80%,0%,17.5%
Jax,1,0,1,0%,1,2,4,2.5,189,5.25,10.1,281,62.5%,12.5%,17.6%
Trundle,1,0,1,0%,1,1,3,4,141,5.11,7.8,284,80%,20%,18.3%
