,Games,Win,Loss,W/L Ratio,Kill,Death,Assist,KDA,CS,CS/M,Gold(k),Gold/M,Kill Participation,Kill Share,Gold Share
Varus,10,9,1,90%,5.4,1.5,5.4,7.2,295.9,9.78,13.9,459,65.5%,32.7%,24.2%
Aphelios,9,8,1,88.9%,4.44,0.67,6.11,15.83,364.22,10.44,16.5,472,66%,27.8%,24.9%
Miss Fortune,9,7,2,77.8%,4.44,1.56,4,5.43,358.11,10.9,15.6,476,74.5%,39.2%,26.2%
Kalista,6,4,2,66.7%,3.83,2,6.5,5.17,290.83,9.42,13.3,432,70.5%,26.1%,23.6%
Ezreal,4,1,3,25%,3.75,3.75,2.75,1.73,320.25,9.53,13.8,411,68.4%,39.5%,24.3%
Xayah,3,0,3,0%,2,3.67,1.67,1,317,9.28,13.8,404,68.8%,37.5%,24.7%
Senna,2,2,0,100%,6.5,0,7.5,28,71,2.66,10.3,385,87.5%,40.6%,19.7%
Caitlyn,1,0,1,0%,2,2,1,1.5,491,10.3,19.7,413,75%,50%,27.6%
Kai'Sa,1,0,1,0%,2,2,4,3,382,10.45,16.3,445,60%,20%,27.1%
Ziggs,1,0,1,0%,1,3,5,2,334,9.69,12.7,368,85.7%,14.3%,23.4%
