,Games,Win,Loss,W/L Ratio,Kill,Death,Assist,KDA,CS,CS/M,Gold(k),Gold/M,Kill Participation,Kill Share,Gold Share
Taric,7,2,5,28.6%,0.43,3,7.71,2.71,42.71,1.18,8,223,70.4%,3.7%,13%
Thresh,6,4,2,66.7%,0.33,2.5,8.83,3.67,43.5,1.2,8.4,233,67.9%,2.5%,12.9%
Yuumi,3,2,1,66.7%,1,1.67,13.33,8.6,24,0.72,7.9,236,87.8%,6.1%,12.9%
Leona,2,2,0,100%,0,1.5,9,6,44,1.31,8.2,243,50%,0%,12.8%
Maokai,2,2,0,100%,3,1,10,13,230.5,7.94,11.4,392,72.2%,16.7%,19.4%
Bard,2,1,1,50%,1.5,2,8,4.75,55.5,1.49,9.2,245,73.1%,11.5%,13%
Rakan,2,1,1,50%,0,3.5,5,1.43,35.5,1.22,6.2,212,66.7%,0%,12.9%
Nautilus,1,1,0,100%,0,3,13,4.33,44,1.57,7.6,272,54.2%,0%,13.2%
Rumble,1,1,0,100%,3,2,6,4.5,292,8.46,13.9,404,75%,25%,21.3%
Sion,1,1,0,100%,1,3,5,2,217,8.43,9.6,373,60%,10%,19.6%
Braum,1,0,1,0%,0,1,1,1,49,1.24,7.7,195,50%,0%,12.1%
Galio,1,0,1,0%,0,5,3,0.6,43,1.53,6.5,230,75%,0%,13.6%
Sett,1,0,1,0%,0,3,2,0.67,37,1.37,5.4,201,50%,0%,13.3%
