,Games,Win,Loss,W/L Ratio,Kill,Death,Assist,KDA,CS,CS/M,Gold(k),Gold/M,Kill Participation,Kill Share,Gold Share
Pantheon,9,8,1,88.9%,4.11,2.56,6.22,4.04,69.89,2.64,8.3,313,52.2%,20.8%,15.4%
Leona,7,6,1,85.7%,0.43,2.14,6,3,35.71,1.3,6.6,239,44.6%,3%,12.2%
Bard,7,5,2,71.4%,1.14,1.29,8.71,7.67,51.71,1.72,7.7,257,75.8%,8.8%,13.7%
Thresh,5,5,0,100%,1.2,2.2,11.6,5.82,36.8,1.06,8.5,245,64%,6%,12.7%
Wukong,3,2,1,66.7%,6,2.67,5.67,4.38,192,7.46,10.7,418,74.5%,38.3%,21.2%
Maokai,2,2,0,100%,2,0.5,12,28,157.5,6.81,9.1,395,80%,11.4%,19.4%
Sett,2,2,0,100%,1.5,1,8.5,10,44,1.76,6.8,272,55.6%,8.3%,12.7%
Karma,1,1,0,100%,1,1,11,12,13,0.57,6.9,300,60%,5%,13.6%
Poppy,1,1,0,100%,0,4,1,0.25,36,1.38,6,231,12.5%,0%,11.7%
Sejuani,1,1,0,100%,1,0,11,12,44,1.71,6.8,264,75%,6.3%,13.1%
Tahm Kench,1,1,0,100%,0,1,11,11,38,1.38,7.1,257,64.7%,0%,13.1%
