,Games,Win,Loss,W/L Ratio,Kill,Death,Assist,KDA,CS,CS/M,Gold(k),Gold/M,Kill Participation,Kill Share,Gold Share
Ornn,6,3,3,50%,1.5,2.17,6.67,3.77,223.33,6.52,10.9,317,57%,10.5%,18.3%
Mordekaiser,4,2,2,50%,2.5,2.25,5.25,3.44,213.75,7.37,10.3,357,59.6%,19.2%,20.4%
Renekton,4,2,2,50%,5.5,2.5,5,4.2,245.25,7.11,13.7,396,64.6%,33.8%,22.4%
Kayle,3,2,1,66.7%,5.67,2.67,5.67,4.25,292.33,8.99,14.7,453,63%,31.5%,24.5%
Wukong,3,0,3,0%,1.67,4,3.67,1.33,195,6.44,9.4,311,61.5%,19.2%,20%
Gangplank,2,1,1,50%,2,0.5,7.5,19,252,8.87,11.9,419,76%,16%,22.8%
Quinn,2,1,1,50%,1.5,1.5,3.5,3.33,210.5,7.97,10.2,385,38.5%,11.5%,20.4%
Volibear,2,1,1,50%,2,2,4.5,3.25,208.5,6.77,10.6,344,54.2%,16.7%,19.5%
Jayce,2,0,2,0%,3,5,2.5,1.1,218.5,6.94,11,351,47.8%,26.1%,21.4%
Fiora,1,1,0,100%,1,3,6,2.33,309,9.31,13.7,414,70%,10%,22.9%
Sylas,1,1,0,100%,4,0,5,9,180,6.38,10.2,363,100%,44.4%,20.6%
Camille,1,0,1,0%,2,4,2,1,236,6.9,11.4,333,44.4%,22.2%,20.5%
