,Games,Win,Loss,W/L Ratio,Kill,Death,Assist,KDA,CS,CS/M,Gold(k),Gold/M,Kill Participation,Kill Share,Gold Share
Sett,6,3,3,50%,1,2.83,3.83,1.71,283.5,7.8,12.9,356,52.7%,10.9%,21.2%
Aatrox,5,2,3,40%,4,1.6,2.2,3.88,241.8,8.38,11.4,395,70.5%,45.5%,23.8%
Kennen,5,2,3,40%,1.4,3.2,4.8,1.94,269.8,7.69,12.6,358,50%,11.3%,20.6%
Akali,4,2,2,50%,2,1.5,4.5,4.33,314,8.65,13.9,383,54.2%,16.7%,22.5%
Jayce,4,1,3,25%,2,2.75,4,2.18,252.5,8.46,11.4,383,68.6%,22.9%,23.9%
Lucian,4,1,3,25%,1.25,2,4.25,2.75,370.5,9.57,15.5,401,81.5%,18.5%,25%
Renekton,3,2,1,66.7%,1.67,2.33,8,4.14,298.33,8.41,13.8,390,72.5%,12.5%,23%
Ornn,3,0,3,0%,1,4.33,3,0.92,237.33,7.21,10.3,313,54.5%,13.6%,20%
Gangplank,2,2,0,100%,2,3,8.5,3.5,349.5,8.1,17.8,413,70%,13.3%,23.8%
Kalista,2,1,1,50%,3.5,3,8.5,4,369,9.31,17.9,451,100%,29.2%,27.1%
Rumble,2,1,1,50%,4,3.5,8,3.43,298,7.74,14.5,378,88.9%,29.6%,21.7%
Sylas,2,1,1,50%,2.5,4.5,7,2.11,248,7,12.6,354,54.3%,14.3%,19.9%
Kayle,1,1,0,100%,8,2,7,7.5,282,9.38,15.4,511,75%,40%,26.3%
Darius,1,0,1,0%,2,4,2,1,177,7.14,8.1,327,80%,40%,22.5%
Jax,1,0,1,0%,1,4,2,0.75,347,8.65,15.2,379,25%,8.3%,23.1%
Viktor,1,0,1,0%,1,5,2,0.6,316,8.06,13.5,345,75%,25%,23.9%
