,Games,Win,Loss,W/L Ratio,Kill,Death,Assist,KDA,CS,CS/M,Gold(k),Gold/M,Kill Participation,Kill Share,Gold Share
Nautilus,13,9,4,69.2%,0.92,1.77,6.31,4.09,49.15,1.54,7.6,236,61%,7.8%,13.3%
Taric,10,7,3,70%,0.4,2,8.9,4.65,35.1,1.07,7.7,235,74.4%,3.2%,13.1%
Morgana,4,3,1,75%,1.5,1.5,7,5.67,45.5,1.31,8.1,233,79.1%,14%,13.4%
Blitzcrank,3,3,0,100%,1.67,3,6,2.56,36,0.93,8.9,230,69.7%,15.2%,12.5%
Alistar,3,2,1,66.7%,1,1.67,10.67,7,33.67,1.05,7.9,248,79.5%,6.8%,13%
Braum,3,2,1,66.7%,1.33,3.33,8.33,2.9,31.67,0.88,8.4,234,82.9%,11.4%,13.2%
Rakan,3,2,1,66.7%,0.33,2.33,7,3.14,37,1.1,7.6,225,66.7%,3%,12.8%
Leona,3,1,2,33.3%,0.67,5.67,6,1.18,45.33,1.08,9.2,219,52.6%,5.3%,12.6%
Karma,1,1,0,100%,0,0,5,5,35,1.14,7.2,236,100%,0%,12.9%
Thresh,1,0,1,0%,0,4,8,2,41,0.95,9.3,215,80%,0%,12.9%
