,Games,Win,Loss,W/L Ratio,Kill,Death,Assist,KDA,CS,CS/M,Gold(k),Gold/M,Kill Participation,Kill Share,Gold Share
Nidalee,8,2,6,25%,2.13,2.75,5.38,2.73,195.5,5.77,10.9,322,69%,19.5%,19.3%
Trundle,7,1,6,14.3%,0.86,2.71,2.86,1.37,142.43,4.85,8.1,275,57.8%,13.3%,17.5%
Graves,3,1,2,33.3%,2.33,4,4.67,1.75,203.67,6.55,10.6,341,70%,23.3%,20%
Rek'Sai,3,1,2,33.3%,1.67,3.67,3,1.27,158,5.28,9,301,51.9%,18.5%,18.2%
Lee Sin,2,1,1,50%,2.5,4.5,4.5,1.56,132.5,4.2,9.6,304,66.7%,23.8%,18.5%
Elise,2,0,2,0%,1.5,4,5.5,1.75,143.5,4.15,10,291,58.3%,12.5%,17.6%
Sett,2,0,2,0%,0,4.5,0.5,0.11,120,4.28,6.8,244,50%,0%,17.7%
Ekko,1,0,1,0%,4,4,1,1.25,217,6.72,10.8,336,62.5%,50%,21.7%
Jarvan IV,1,0,1,0%,3,3,2,1.67,131,4.51,8.5,294,100%,60%,19.6%
Olaf,1,0,1,0%,1,5,1,0.4,89,5.27,4.8,285,100%,50%,20.6%
Skarner,1,0,1,0%,2,6,9,1.83,151,4.38,9.9,287,64.7%,11.8%,17%
Volibear,1,0,1,0%,1,3,4,1.67,161,4.31,10.5,282,100%,20%,16.7%
