,Games,Win,Loss,W/L Ratio,Kill,Death,Assist,KDA,CS,CS/M,Gold(k),Gold/M,Kill Participation,Kill Share,Gold Share
Ezreal,10,6,4,60%,2.6,2.2,4.1,3.05,316.2,9.51,13.6,410,59.8%,23.2%,23.8%
Ashe,7,4,3,57.1%,2.71,2.71,5.29,2.95,301.43,8.89,13.9,409,60.9%,20.7%,23.2%
Aphelios,6,3,3,50%,4,2.5,4.17,3.27,366.17,10.49,16.8,481,81.7%,40%,28%
Caitlyn,3,1,2,33.3%,2.33,2.33,4.33,2.86,328.33,9.02,15.1,414,66.7%,23.3%,25%
Kalista,2,0,2,0%,3.5,4,2,1.38,326.5,9.9,13.6,412,73.3%,46.7%,27.1%
Senna,2,0,2,0%,1.5,2,4.5,3,263.5,7.51,12.1,346,85.7%,21.4%,22.1%
Varus,2,0,2,0%,2,3.5,2,1.14,338.5,10.68,14,443,100%,50%,28.2%
Jhin,1,0,1,0%,7,5,7,2.8,397,9.5,18.7,447,60.9%,30.4%,25.4%
Sivir,1,0,1,0%,2,3,1,1,395,11.82,14.7,439,100%,66.7%,28.4%
Xayah,1,0,1,0%,2,3,1,1,448,10.33,19.4,448,50%,33.3%,24.1%
