,Games,Win,Loss,W/L Ratio,Kill,Death,Assist,KDA,CS,CS/M,Gold(k),Gold/M,Kill Participation,Kill Share,Gold Share
Ezreal,11,9,2,81.8%,4.18,1.64,5.64,6,318.36,9.81,14.5,448,64.7%,27.5%,23.6%
Aphelios,6,3,3,50%,2.67,2.67,5.67,3.13,285.5,9.01,12.8,405,62.5%,20%,22.5%
Kalista,6,2,4,33.3%,2.67,2.33,3.5,2.64,322.67,9.73,13.8,417,75.5%,32.7%,24%
Senna,5,4,1,80%,4.4,2.2,7,5.18,177.8,5.32,11.9,356,83.8%,32.4%,18.9%
Ashe,4,4,0,100%,3.25,1,8.75,12,302.75,9.95,14,461,64%,17.3%,22.3%
Lucian,4,4,0,100%,4,1.25,6.5,8.4,354,10.53,15.8,469,58.3%,22.2%,23.5%
Caitlyn,3,3,0,100%,4.33,2.33,6.33,4.57,326,9.59,14.9,438,62.7%,25.5%,22.6%
Xayah,3,1,2,33.3%,2,2.33,4.33,2.71,331.33,10.06,14.6,442,73.1%,23.1%,24.8%
Sivir,1,1,0,100%,2,0,11,13,322,11.03,13.4,459,81.3%,12.5%,22.5%
Varus,1,1,0,100%,6,0,2,8,301,9.4,14.5,454,80%,60%,25%
Heimerdinger,1,0,1,0%,1,5,1,0.4,225,7.59,9.6,323,66.7%,33.3%,22.1%
