,Games,Win,Loss,W/L Ratio,Kill,Death,Assist,KDA,CS,CS/M,Gold(k),Gold/M,Kill Participation,Kill Share,Gold Share
Camille,2,2,0,100%,8,2.5,6.5,5.8,224,8.64,13.5,521,87.9%,48.5%,27.1%
Kennen,2,2,0,100%,4.5,0.5,7.5,24,267,9.54,12.7,453,70.6%,26.5%,23.7%
Hecarim,2,1,1,50%,6,4,5.5,2.88,249.5,7.64,13.9,427,71.9%,37.5%,24.1%
Aatrox,1,1,0,100%,0,0,2,2,350,9.46,14.4,389,22.2%,0%,21.6%
Irelia,1,1,0,100%,8,0,8,16,225,9.69,12,518,66.7%,33.3%,24.9%
Lucian,1,1,0,100%,10,1,5,15,319,9.5,16.4,488,65.2%,43.5%,25.7%
Ornn,1,1,0,100%,0,0,9,9,252,7.47,11.9,352,60%,0%,18.8%
Renekton,1,1,0,100%,4,1,9,13,270,8.94,13.7,454,61.9%,19%,23.3%
Ryze,1,1,0,100%,5,2,6,5.5,328,10.07,15,461,57.9%,26.3%,24.5%
Vladimir,1,1,0,100%,8,4,3,2.75,321,8.53,16,424,55%,40%,23.6%
