,Games,Win,Loss,W/L Ratio,Kill,Death,Assist,KDA,CS,CS/M,Gold(k),Gold/M,Kill Participation,Kill Share,Gold Share
Thresh,8,6,2,75%,0.25,1.75,8.13,4.79,32.5,0.99,7.5,229,68.4%,2%,12.5%
Braum,5,4,1,80%,0.4,2.2,12,5.64,35.2,0.99,8.2,233,75.6%,2.4%,12.6%
Morgana,4,4,0,100%,2,1.75,14.25,9.29,24.5,0.81,8.6,286,76.5%,9.4%,14%
Alistar,3,3,0,100%,0.67,2,12,6.33,30,0.94,7.9,248,76%,4%,13.1%
Taric,3,3,0,100%,0,1.33,9.33,7,40,1.35,7.2,243,68.3%,0%,12.8%
Pyke,3,2,1,66.7%,1.33,1.67,7,5,53.67,1.69,8.6,272,64.1%,10.3%,14.7%
Senna,3,2,1,66.7%,1.33,2,9,5.17,40,1.08,9,242,88.6%,11.4%,13.7%
Tahm Kench,3,2,1,66.7%,0.67,1.33,9.33,7.5,122.33,4.18,8.3,283,76.9%,5.1%,15.7%
Yuumi,3,1,2,33.3%,0,2,8,4,11,0.31,7,201,92.3%,0%,12.2%
Nautilus,2,1,1,50%,0,2,5,2.5,34,0.99,7.3,211,62.5%,0%,12.3%
Volibear,2,1,1,50%,3.5,4.5,8,2.56,42.5,1.29,8.9,269,79.3%,24.1%,14.8%
Rakan,2,0,2,0%,0,3,3,1,51,1.47,7.5,215,66.7%,0%,13.1%
Karma,1,1,0,100%,1,1,19,20,38,1.26,9.1,304,87%,4.3%,15.4%
Lulu,1,1,0,100%,0,1,16,16,8,0.25,8.2,251,76.2%,0%,13.1%
Blitzcrank,1,0,1,0%,0,3,2,0.67,21,0.71,5.4,185,40%,0%,12.4%
Lux,1,0,1,0%,0,3,1,0.33,27,0.87,6.3,205,33.3%,0%,12.9%
Nami,1,0,1,0%,0,5,4,0.8,16,0.47,6.2,182,80%,0%,11.1%
