,Games,Win,Loss,W/L Ratio,Kill,Death,Assist,KDA,CS,CS/M,Gold(k),Gold/M,Kill Participation,Kill Share,Gold Share
Ornn,6,3,3,50%,0.5,2.67,6.17,2.5,234,6.73,10.9,312,63.5%,4.8%,19%
Camille,5,3,2,60%,2.8,3,5,2.6,266,8.2,13.4,411,61.9%,22.2%,22.6%
Mordekaiser,4,1,3,25%,2.25,5.75,3,0.91,230.75,6.88,11.3,337,46.7%,20%,20.1%
Wukong,4,1,3,25%,2.75,3,4.5,2.42,246.5,7.42,12.2,367,69%,26.2%,21.6%
Sylas,3,2,1,66.7%,2.67,4.33,6.67,2.15,223,6.79,11.8,359,73.7%,21.1%,20.5%
Volibear,2,2,0,100%,2,2,7,4.5,232,6.21,13.3,357,64.3%,14.3%,19.7%
Hecarim,1,1,0,100%,6,3,9,5,249,7.52,14.7,445,60%,24%,22.2%
Kayle,1,1,0,100%,4,2,4,4,244,9.17,11.1,416,57.1%,28.6%,21.2%
Gnar,1,0,1,0%,1,5,1,0.4,247,7.93,11.5,368,100%,50%,22.4%
Jayce,1,0,1,0%,1,0,1,2,249,8.85,9.5,336,100%,50%,22.6%
Kennen,1,0,1,0%,1,6,0,0.17,235,7.24,10.6,327,25%,25%,22.1%
Maokai,1,0,1,0%,0,4,1,0.25,257,7.65,10.8,321,100%,0%,20.8%
Renekton,1,0,1,0%,1,3,2,1,137,6.18,6.6,299,60%,20%,18.5%
