,Games,Win,Loss,W/L Ratio,Kill,Death,Assist,KDA,CS,CS/M,Gold(k),Gold/M,Kill Participation,Kill Share,Gold Share
Trundle,10,3,7,30%,1.4,1.9,6,3.89,174.9,5.04,10.4,299,77.1%,14.6%,18.1%
Olaf,8,6,2,75%,2.75,1.63,6.38,5.62,199.75,5.65,11.6,328,65.2%,19.6%,18.4%
Lee Sin,7,3,4,42.9%,3.29,2.86,4.57,2.75,148.14,5.38,9.2,334,68.8%,28.7%,19.2%
Sett,4,3,1,75%,3,1,6.75,9.75,183.75,5.48,11.2,334,78%,24%,18.4%
Volibear,4,2,2,50%,2.25,1.75,3.75,3.43,198.5,5.48,11.5,318,72.7%,27.3%,18.8%
Jarvan IV,3,0,3,0%,1.33,4,4.67,1.5,128.67,4.83,7.7,289,81.8%,18.2%,17.8%
Gragas,2,0,2,0%,3,4,4.5,1.88,161,4.81,10.1,303,83.3%,33.3%,18.2%
Graves,2,0,2,0%,0.5,5,3.5,0.8,157,6.06,7.8,302,72.7%,9.1%,19.2%
Hecarim,1,0,1,0%,0,4,2,0.5,161,6.38,7.6,300,100%,0%,20.6%
Sejuani,1,0,1,0%,1,4,4,1.25,156,4.97,9.2,294,71.4%,14.3%,17%
