,Games,Win,Loss,W/L Ratio,Kill,Death,Assist,KDA,CS,CS/M,Gold(k),Gold/M,Kill Participation,Kill Share,Gold Share
Taric,12,5,7,41.7%,0.25,2.58,8.58,3.42,38.92,1.15,7.4,219,87.6%,2.5%,13.2%
Yuumi,6,2,4,33.3%,0.5,1.5,7.5,5.33,15.67,0.45,7.4,212,90.6%,5.7%,12.8%
Thresh,5,2,3,40%,0,3.2,7.4,2.31,34.6,1.11,6.8,217,68.5%,0%,12.7%
Shen,3,2,1,66.7%,1,2.33,8.67,4.14,54.33,1.54,8.6,243,78.4%,8.1%,13.7%
Tahm Kench,3,2,1,66.7%,0.67,3,7.67,2.78,127.67,3.72,9.3,271,65.8%,5.3%,15.4%
Braum,3,1,2,33.3%,0,3.33,6.67,2,41.67,1.21,7.1,206,76.9%,0%,12.7%
Rakan,3,0,3,0%,0.33,3.67,5,1.45,25.33,0.79,6.8,213,66.7%,4.2%,13.1%
Nautilus,2,2,0,100%,2,2.5,3.5,2.2,116,3.31,9.5,272,61.1%,22.2%,15.6%
Morgana,2,1,1,50%,2,2.5,8,4,21,0.75,6.9,248,87%,17.4%,15%
Brand,2,0,2,0%,0.5,2.5,2.5,1.2,19,0.7,5.8,212,100%,16.7%,14.4%
Rumble,2,0,2,0%,2.5,4.5,1.5,0.89,41,1.42,6.7,233,80%,50%,15.7%
Maokai,1,0,1,0%,1,3,0,0.33,252,7.29,11.1,321,50%,50%,20.2%
Senna,1,0,1,0%,0,4,5,1.25,45,1.34,7.4,222,62.5%,0%,13.7%
