,Games,Win,Loss,W/L Ratio,Kill,Death,Assist,KDA,CS,CS/M,Gold(k),Gold/M,Kill Participation,Kill Share,Gold Share
Jayce,5,4,1,80%,3.6,2.8,7,3.79,272.8,8.26,13.5,409,73.6%,25%,22.5%
Camille,4,4,0,100%,3.75,1.25,5,7,263.25,8.09,13.2,405,56.5%,24.2%,21.1%
Aatrox,4,2,2,50%,1.25,3.25,3.25,1.38,237.75,7.32,11.2,346,64.3%,17.9%,20.5%
Mordekaiser,4,0,4,0%,3.25,4.5,3.25,1.44,241.25,6.97,11.6,335,65%,32.5%,21%
Karma,3,3,0,100%,2.67,1.33,9.33,9,206,7.15,10.7,370,80%,17.8%,20%
Kennen,3,3,0,100%,3.67,1.33,6.33,7.5,225.67,7.06,12.4,389,57.7%,21.2%,20%
Lucian,2,2,0,100%,2.5,1,3,5.5,265,9.05,12.9,442,47.8%,21.7%,23.1%
Ornn,2,2,0,100%,0.5,0,5,11,252,7.88,11.9,371,50%,4.5%,20.3%
Kayle,1,1,0,100%,0,1,7,7,352,9.15,16.3,423,77.8%,0%,23%
Sylas,1,1,0,100%,0,1,4,4,228,6.83,10.4,313,40%,0%,18.1%
Quinn,1,0,1,0%,2,2,1,1.5,335,9.61,15.2,435,75%,50%,25.6%
Renekton,1,0,1,0%,1,4,2,0.75,238,8.4,9.6,341,60%,20%,21.2%
