,Games,Win,Loss,W/L Ratio,Kill,Death,Assist,KDA,CS,CS/M,Gold(k),Gold/M,Kill Participation,Kill Share,Gold Share
Miss Fortune,6,1,5,16.7%,2.83,2.5,3.67,2.6,356.5,10.62,14.3,424,84.8%,37%,25.8%
Kalista,5,1,4,20%,2.2,1.8,3,2.89,305.4,9.61,12.8,403,76.5%,32.4%,24.7%
Aphelios,3,1,2,33.3%,5,1,5.33,10.33,431.67,11.54,18.7,499,83.8%,40.5%,28.9%
Senna,2,1,1,50%,4,3,7,3.67,179.5,5.15,11.6,333,81.5%,29.6%,19.3%
Varus,2,1,1,50%,2.5,1,1.5,4,354.5,10.11,14.6,417,61.5%,38.5%,24.6%
Xayah,2,1,1,50%,5,3,7,4,351.5,9.87,15.9,447,70.6%,29.4%,24.4%
Ezreal,2,0,2,0%,1,2.5,0,0.4,274.5,9.81,10.2,366,40%,40%,23.5%
Kai'Sa,1,1,0,100%,4,1,3,7,390,10.35,16.8,445,46.7%,26.7%,24.6%
Vayne,1,1,0,100%,8,1,5,13,300,9,15.6,469,81.3%,50%,27.1%
Caitlyn,1,0,1,0%,2,1,1,3,301,10.18,11.3,383,75%,50%,25.4%
