,Games,Win,Loss,W/L Ratio,Kill,Death,Assist,KDA,CS,CS/M,Gold(k),Gold/M,Kill Participation,Kill Share,Gold Share
Aphelios,12,6,6,50%,3.25,2.17,4.33,3.5,311.5,10.31,13.2,436,71.7%,30.7%,25.1%
Caitlyn,7,3,4,42.9%,2.57,2.29,2.57,2.25,336,9.9,14.3,421,51.4%,25.7%,24.2%
Senna,7,3,4,42.9%,1,1.57,6.71,4.91,230,6.78,11.3,333,81.8%,10.6%,20%
Ashe,4,1,3,25%,1.25,1.5,3,2.83,354.5,10.59,13.7,409,48.6%,14.3%,24.9%
Kalista,3,2,1,66.7%,6,1.67,5.67,7,340.33,10.23,15.3,461,61.4%,31.6%,25.3%
Ezreal,2,1,1,50%,2.5,2,6,4.25,375,10.19,15.8,428,63%,18.5%,24.3%
Jhin,2,1,1,50%,3.5,1,3.5,7,339.5,10.89,14.2,456,60.9%,30.4%,25.9%
Syndra,2,0,2,0%,1.5,2.5,2,1.4,268,9.05,10.6,360,58.3%,25%,22.3%
Maokai,1,0,1,0%,0,4,1,0.25,193,6.02,8.9,276,50%,0%,18.1%
Sona,1,0,1,0%,0,3,1,0.33,83,3.29,6.3,251,50%,0%,17.2%
Varus,1,0,1,0%,2,7,7,1.29,286,8.82,12.3,379,90%,20%,23.1%
