,Games,Win,Loss,W/L Ratio,Kill,Death,Assist,KDA,CS,CS/M,Gold(k),Gold/M,Kill Participation,Kill Share,Gold Share
Aatrox,9,3,6,33.3%,1.78,3.11,3.33,1.64,288.33,8.38,12.8,372,51.1%,17.8%,21.8%
Sett,7,2,5,28.6%,1.71,3.14,4.57,2,264.86,7.85,12.3,364,64.7%,17.6%,21.6%
Gnar,3,1,2,33.3%,2,2.33,3,2.14,277.67,8.79,12,380,78.9%,31.6%,23.7%
Soraka,3,1,2,33.3%,0.67,2.67,5,2.13,184,5.8,8.9,280,65.4%,7.7%,17.2%
Lucian,3,0,3,0%,3,3.33,2.33,1.6,341.33,9.45,14.6,405,69.6%,39.1%,25.2%
Kennen,2,2,0,100%,4,1,3,7,320,8.95,15.1,422,73.7%,42.1%,23.7%
Ornn,2,0,2,0%,0.5,3.5,3.5,1.14,218,7.78,9,320,66.7%,8.3%,20.6%
Akali,1,1,0,100%,4,1,4,8,285,9.55,12.6,421,72.7%,36.4%,23.5%
Renekton,1,1,0,100%,2,1,12,14,215,7.31,12.5,424,66.7%,9.5%,21%
Irelia,1,0,1,0%,4,7,6,1.43,343,8.2,16.2,388,83.3%,33.3%,22.1%
