,Games,Win,Loss,W/L Ratio,Kill,Death,Assist,KDA,CS,CS/M,Gold(k),Gold/M,Kill Participation,Kill Share,Gold Share
Azir,9,4,5,44.4%,2.44,1.33,2.89,4,305.44,9.13,13.2,394,71.6%,32.8%,23.8%
Zoe,8,2,6,25%,1.88,2.25,4.25,2.72,272.88,8.38,11.8,363,73.1%,22.4%,22.1%
Qiyana,3,2,1,66.7%,1.33,1.33,3.67,3.75,299.33,8.62,12.6,364,57.7%,15.4%,21.5%
Sylas,3,2,1,66.7%,2.67,3,4,2.22,269,8.02,12.5,373,57.1%,22.9%,21.3%
Rumble,3,1,2,33.3%,3,1.67,6.67,5.8,197,7.04,9.4,337,80.6%,25%,20.6%
Lucian,2,2,0,100%,3,1.5,6,6,425,9.64,17.9,406,62.1%,20.7%,23.9%
LeBlanc,2,0,2,0%,1,2,4.5,2.75,238.5,8.21,10,345,84.6%,15.4%,22.9%
Ornn,2,0,2,0%,1.5,4,4,1.38,272,7.22,11.8,313,55%,15%,19.7%
Sett,2,0,2,0%,2,3.5,5.5,2.14,295.5,6.81,13.9,321,71.4%,19%,21%
Syndra,2,0,2,0%,1,2.5,2.5,1.4,287,8,11.6,323,50%,14.3%,21.1%
Corki,1,1,0,100%,3,0,4,7,372,10.76,15.9,459,63.6%,27.3%,24%
Pantheon,1,1,0,100%,2,1,3,5,312,8.63,13.3,369,41.7%,16.7%,21%
Varus,1,1,0,100%,8,0,12,20,330,8.28,16.9,424,95.2%,38.1%,24.2%
Galio,1,0,1,0%,1,3,1,0.67,236,8.02,9.5,323,40%,20%,20.8%
Jayce,1,0,1,0%,2,1,1,3,344,8.8,14.9,381,100%,66.7%,24.8%
Orianna,1,0,1,0%,1,4,4,1.25,247,8.77,9.5,339,83.3%,16.7%,21.9%
Renekton,1,0,1,0%,1,6,3,0.67,253,7.54,10.4,312,80%,20%,20.1%
Taliyah,1,0,1,0%,2,2,3,2.5,251,7.53,11.8,355,62.5%,25%,22%
